t_s,t_us,x1_um,x2_um,Vout_mV,ER_J,energy_residual_J,tip_overlap_nm
0.0,0.0,13.860000000000001,13.680000000000001,0.0,0.0,0.0,-29.999999999999712
2.5e-7,0.25,13.860992524048438,13.681586215680806,1.5828042968928884,4.2135417956006256e-19,3.441357635309431e-21,-28.413784319195514
5.0e-7,0.5,13.861970340610421,13.684235200462805,4.1025266051877045,5.313757649633306e-18,2.0413410947260278e-21,-25.764799537196478
7.5e-7,0.75,13.862933850011819,13.687791560092023,7.378610715234275,2.5078752775925107e-17,3.008562213683611e-21,-22.208439907977166
1.0e-6,1.0,13.863883493002545,13.692110781185079,11.264569270463667,7.704737868087152e-17,5.1949068984895124e-21,-17.889218814922703
1.25e-6,1.25,13.864819750036663,13.697056234135008,15.637612653374068,1.8512044438001147e-16,6.873588970360796e-21,-12.94376586499233
1.5e-6,1.5,13.865743145620645,13.702494792971557,20.387683488761322,3.7879094488154747e-16,1.6663702881690628e-20,-7.505207028443654
1.75e-6,1.75,13.866654247899705,13.708294422679993,25.405334398629645,6.916235501891876e-16,7.707831314276068e-21,-1.7055773200087594
2.0e-6,2.0,13.867553688500989,13.714315768622418,30.471998571280672,1.1580650383768708e-15,8.394770885671546e-21,4.315768622416462
2.25e-6,2.25,13.868442689505184,13.720244371917365,35.027814467360635,1.8001829065815654e-15,7.258574498638174e-21,10.244371917365102
2.5e-6,2.5,13.86932314032338,13.725574384612903,38.49460092077037,2.6100575608571586e-15,6.1329690930610344e-21,15.574384612901758
2.75e-6,2.75,13.870196711367752,13.729889776932211,40.48377179611523,3.544644684886994e-15,1.5672056306700897e-20,19.889776932210353
3.0e-6,3.0,13.87106432555454,13.733017313350933,40.924209851084,4.5368588238258535e-15,-2.3968744089680254e-20,23.017313350932575
3.25e-6,3.25,13.871926113511986,13.735022803046576,40.024501575412614,5.516736789469003e-15,-2.7252764212615146e-20,25.022803046574527
3.5e-6,3.5,13.872781684233447,13.736113038022356,38.13496031655067,6.429089199703855e-15,-4.0530961442174715e-20,26.113038022355447
3.75e-6,3.75,13.873630437680232,13.736533019983716,35.618880135325895,7.24055672096184e-15,-4.218863462090525e-20,26.533019983715377
4.0e-6,4.0,13.874471769484403,13.736503757150242,32.781571135316476,7.937836943298415e-15,-4.4853001145397025e-20,26.503757150241253
4.25e-6,4.25,13.87530515990465,13.73619954487837,29.849910929029225,8.522015143155746e-15,-4.252394003702186e-20,26.199544878368823
4.5e-6,4.5,13.876130192829743,13.735747671167502,26.97866215870064,9.00266958104254e-15,-4.3711503209183784e-20,25.747671167501874
4.75e-6,4.75,13.876946545329389,13.735236557287507,24.265626386265012,9.393315859830053e-15,-4.2593630003629455e-20,25.236557287505573
5.0e-6,5.0,13.877753969693137,13.73472511808848,21.766869190706302,9.708422065143187e-15,-4.252110791277615e-20,24.725118088480013
5.25e-6,5.25,13.878552276646753,13.734250713022316,19.509102229503277,9.961696600686732e-15,-4.233307134184952e-20,24.250713022315256
5.5e-6,5.5,13.879341321965496,13.733835210732892,17.49893823802142,1.0165254212020043e-14,-4.3110146135032e-20,23.835210732890303
5.75e-6,5.75,13.880120996282736,13.733489442455582,15.729589220485073,1.0329329283638242e-14,-4.267568082739846e-20,23.48944245558037
6.0e-6,6.0,13.880891217294884,13.733216462746386,14.185686097376541,1.0462300516040904e-14,-4.1873034521060726e-20,23.21646274638494
6.25e-6,6.25,13.88165192362323,13.733013972845672,12.846769234194538,1.0570872866012834e-14,-4.1186926977039203e-20,23.01397284567166
6.5e-6,6.5,13.882403069813426,13.732876158232745,11.689837070546696,1.0660322332438627e-14,-4.066020679729899e-20,22.876158232744686
6.75e-6,6.75,13.883144622161874,13.732795102333261,10.691207872733997,1.0734749500988814e-14,-4.03980341639723e-20,22.795102333261127
7.0e-6,7.0,13.883876555205935,13.732761875492178,9.827858781058872,1.0797313688439925e-14,-4.03312231736373e-20,22.761875492177705
7.25e-6,7.25,13.884598848803202,13.732767359588692,9.078350271509649,1.0850435448425187e-14,-4.0240688901828226e-20,22.767359588692013
7.5e-6,7.5,13.885311485765907,13.732802847970893,8.423413093367078,1.0895964439018708e-14,-4.0286574807605044e-20,22.8028479708919
7.75e-6,7.75,13.886014450024849,13.732860451656519,7.846259640879535,1.0935314530588438e-14,-4.019850915293656e-20,22.86045165651748
8.0e-6,8.0,13.886707725288574,13.732933340593592,7.332675095993972,1.0969570226891037e-14,-4.010757583110541e-20,22.933340593591
8.25e-6,8.25,13.88739129414717,13.733015849343339,6.870940426715903,1.099956910883094e-14,-4.006503419069575e-20,23.015849343338697
8.5e-6,8.5,13.888065137555627,13.733103477231465,6.451636212955174,1.1025964820310649e-14,-4.008465226526261e-20,23.10347723146409
8.75e-6,8.75,13.888729234622202,13.7331928123765,6.067371680515996,1.1049274581108972e-14,-4.0097027662708225e-20,23.192812376499177
9.0e-6,9.0,13.889383562625651,13.733281406657408,5.712477012396564,1.1069914577101581e-14,-4.007929497832662e-20,23.281406657407626
9.25e-6,9.25,13.890028097189344,13.73336762486505,5.382689419813318,1.1088225977453895e-14,-4.0087980374758427e-20,23.367624865048427
9.5e-6,9.5,13.890662812550042,13.73345048654672,5.074855386118583,1.1104493804626865e-14,-4.008576217362359e-20,23.450486546719986
9.75e-6,9.75,13.891287681870885,13.733529514102944,4.786663844823087,1.1118960438829597e-14,-4.0115732930544434e-20,23.52951410294244
1.0e-5,10.0,13.891902677561124,13.733604595999553,4.5164182991062285,1.1131835170962265e-14,-4.0050613459938624e-20,23.604595999553002
1.025e-5,10.25,13.892507771576582,13.73367587003626,4.262850637847465,1.1143300908329534e-14,-4.003626866177679e-20,23.675870036259163
1.05e-5,10.5,13.893102935685464,13.733743628429039,4.024975404728277,1.1153518878946326e-14,-4.0037889095672085e-20,23.743628429038022
1.075e-5,10.75,13.893688141691703,13.733808244248504,3.80198077258553,1.1162631969046965e-14,-4.002969806890325e-20,23.80824424850288
1.1e-5,11.0,13.894263361614264,13.733870117285678,3.5931510399673465,1.11707671531947e-14,-4.0028757797191324e-20,23.870117285676912
1.125e-5,11.25,13.894828567824455,13.733929636631947,3.3978149546770315,1.1178037339534295e-14,-4.0029347486495195e-20,23.929636631946117
1.15e-5,11.5,13.89538373314598,13.733987156925146,3.2153142243808612,1.1184542847799467e-14,-4.002970130007752e-20,23.98715692514516
1.175e-5,11.75,13.895928830923454,13.734042985257165,3.0449870756638604,1.1190372660213887e-14,-4.0020208110078764e-20,24.042985257163938
1.2e-5,12.0,13.896463835065491,13.7340973760038,2.8861624428457473,1.1195605528422016e-14,-4.0017721721479704e-20,24.09737600379907
1.225e-5,12.25,13.896988720068245,13.734150531197278,2.738161141737498,1.1200310985014541e-14,-4.0015335499282944e-20,24.15053119727729
1.25e-5,12.5,13.897503461024519,13.734202604491081,2.600301177678999,1.1204550282160367e-14,-4.001344849351056e-20,24.202604491079462
1.275e-5,12.75,13.898008033623015,13.734253707182397,2.4719050533232725,1.1208377267106629e-14,-4.003236701884844e-20,24.25370718239565
1.3e-5,13.0,13.89850241414123,13.734303915149297,2.352307571473028,1.121183919786787e-14,-4.002420668823515e-20,24.30391514929616
1.325e-5,13.25,13.898986579434865,13.734353275883562,2.240863128772998,1.1214977495399382e-14,-4.002236330331538e-20,24.3532758835614
1.35e-5,13.5,13.899460506925795,13.734401815068345,2.136951899722773,1.1217828434085753e-14,-4.004050473124186e-20,24.401815068345023
1.375e-5,13.75,13.899924174589978,13.734449542435573,2.0399846674295388,1.1220423770675388e-14,-4.004090539685106e-20,24.449542435572788
1.4e-5,14.0,13.900377560946389,13.734496456673844,1.9494061677943524,1.1222791305514336e-14,-4.004229157061194e-20,24.496456673842868
1.425e-5,14.25,13.900820645047409,13.73454254941468,1.864697071972848,1.1224955387266612e-14,-4.004488135678757e-20,24.54254941467982
1.45e-5,14.5,13.9012534064709,13.734587808316308,1.785374756891702,1.1226937358450137e-14,-4.004252259957209e-20,24.587808316307065
1.475e-5,14.75,13.901675825314054,13.734632219349862,1.7109930628761614,1.1228755947978321e-14,-4.004324799819521e-20,24.632219349861696
1.5e-5,15.0,13.902087882188926,13.734675768390723,1.6411412696765335,1.123042761279568e-14,-4.004662295971791e-20,24.675768390722038
1.525e-5,15.25,13.902489558219353,13.734718442260135,1.5754424968009662,1.1231966837209989e-14,-4.004437890918893e-20,24.71844226013455
1.55e-5,15.5,13.902880835039118,13.734760229332787,1.5135517203190139,1.1233386392122521e-14,-4.003946429312763e-20,24.76022933278548
1.575e-5,15.75,13.903261694791112,13.734801119814446,1.4551535628478782,1.1234697558644565e-14,-4.0042648615368533e-20,24.801119814444725
1.6e-5,16.0,13.903632120127236,13.734841105791189,1.3999599888920073,1.1235910321848835e-14,-4.0044372446840397e-20,24.841105791186887
1.625e-5,16.25,13.903992094208835,13.734880181127528,1.347708011171048,1.1237033537449814e-14,-4.004099425414343e-20,24.880181127527127
1.65e-5,16.5,13.90434160070754,13.734918341273415,1.2981574615125644,1.1238075076159416e-14,-4.003924780445169e-20,24.918341273414512
1.675e-5,16.75,13.904680623806323,13.734955583025148,1.2510888969579894,1.123904194736429e-14,-4.0040167073530874e-20,24.95558302514682
1.7e-5,17.0,13.905009148200683,13.734991904274537,1.206301651676764,1.1239940406596423e-14,-4.004054673650734e-20,24.991904274535276
1.725e-5,17.25,13.905327159099897,13.735027303770572,1.163612063324264,1.1240776047956366e-14,-4.003740926629332e-20,25.02730377057151
1.75e-5,17.5,13.905634642228218,13.735061780902774,1.1228518601133042,1.1241553884461749e-14,-4.0035851840296247e-20,25.06178090277347
1.775e-5,17.75,13.905931583826046,13.735095335515785,1.083866720848326,1.1242278417432019e-14,-4.003697305776717e-20,25.095335515783454
1.8e-5,18.0,13.90621797065103,13.735127967756904,1.046514983639831,1.1242953697050332e-14,-4.003604409516518e-20,25.127967756903875
1.825e-5,18.25,13.906493789979075,13.73515967795731,1.0106664978410034,1.1243583374964472e-14,-4.003269498303662e-20,25.15967795730768
1.85e-5,18.5,13.906759029605233,13.735190466540676,0.976201600079573,1.1244170750250051e-14,-4.0034497978278045e-20,25.19046654067566
1.875e-5,18.75,13.907013677844574,13.73522033395763,0.9430102025765525,1.1244718809752633e-14,-4.003508120523338e-20,25.22033395762935
1.9e-5,19.0,13.907257723532897,13.735249280641321,0.9109909797755782,1.1245230263246697e-14,-4.003362071446434e-20,25.249280641321068
1.925e-5,19.25,13.907491156027428,13.735277306980418,0.8800506370980626,1.1245707574491503e-14,-4.0029093839315174e-20,25.277306980416967
1.95e-5,19.5,13.907713965207392,13.735304413303307,0.8501032548304885,1.1246152988504073e-14,-4.0031323349559946e-20,25.30441330330663
1.975e-5,19.75,13.90792614147463,13.735330599871864,0.821069693092937,1.1246568555748813e-14,-4.003080313050283e-20,25.330599871862162
2.0e-5,20.0,13.908127675754022,13.735355866882577,0.7928770545748273,1.1246956153268762e-14,-4.0029467039943103e-20,25.355866882576564
2.025e-5,20.25,13.908318559493997,13.73538021447121,0.765458191704054,1.1247317503558002e-14,-4.0029646370114965e-20,25.38021447120889
2.05e-5,20.5,13.908498784666923,13.735403642719097,0.7387512580417107,1.1247654191276272e-14,-4.0030696501751995e-20,25.40364271909633
2.075e-5,20.75,13.908668343769488,13.735426151660912,0.7126992950345713,1.1247967678058057e-14,-4.003060764445963e-20,25.426151660911323
2.1e-5,21.0,13.908827229823043,13.735447741293308,0.6872498533663884,1.1248259315565913e-14,-4.00317692516089e-20,25.4477412933081
2.125e-5,21.25,13.90897543637394,13.735468411582147,0.6623546423563964,1.1248530357197832e-14,-4.003294055228097e-20,25.46841158214614
2.15e-5,21.5,13.909112957493791,13.735488162468936,0.6379692071224548,1.124878196857349e-14,-4.0033019716050533e-20,25.488162468936128
2.175e-5,21.75,13.909239787779738,13.735506993876594,0.6140526303463998,1.1249015236706116e-14,-4.0034349344261727e-20,25.506993876592986
2.2e-5,22.0,13.909355922354694,13.735524905714618,0.5905672562950606,1.1249231178226384e-14,-4.003459652909321e-20,25.524905714616324
2.225e-5,22.25,13.909461356867544,13.735541897882507,0.5674784359180428,1.1249430746777247e-14,-4.0035024659683694e-20,25.541897882507378
2.25e-5,22.5,13.909556087493309,13.735557970272492,0.5447542905953981,1.1249614839656678e-14,-4.0035540031979406e-20,25.557970272491367
2.275e-5,22.75,13.909640110933324,13.735573122771974,0.5223654950523134,1.124978430356822e-14,-4.0033871130470094e-20,25.573122771973896
2.3e-5,23.0,13.909713424415338,13.735587355265146,0.5002850754869035,1.1249939939868422e-14,-4.0033510854539236e-20,25.587355265145234
2.325e-5,23.25,13.909776025693636,13.735600667633873,0.4784882241805207,1.1250082509324388e-14,-4.003189365181821e-20,25.600667633873083
2.35e-5,23.5,13.909827913049075,13.735613059758327,0.4569521276986091,1.1250212736310706e-14,-4.0032165070456704e-20,25.613059758326
2.375e-5,23.75,13.90986908528917,13.735624531517653,0.4356558091618599,1.1250331312475895e-14,-4.0031019619178774e-20,25.624531517651015
2.4e-5,24.0,13.909899541748072,13.735635082790107,0.41457998210990493,1.1250438900120835e-14,-4.003158669026277e-20,25.63508279010578
2.425e-5,24.25,13.909919282286575,13.735644713453135,0.3937069163727784,1.1250536135313348e-14,-4.0031987355871976e-20,25.644713453134788
2.45e-5,24.5,13.90992830729207,13.735653423383397,0.3730203144620475,1.1250623630511732e-14,-4.003029906731706e-20,25.65342338339649
2.475e-5,24.75,13.909926617678462,13.735661212456755,0.35250519716147793,1.1250701976900644e-14,-4.003154953175869e-20,25.66121245675313
2.5e-5,25.0,13.909914214886095,13.735668080548313,0.33214779899027336,1.1250771746729262e-14,-4.0033680491188295e-20,25.668080548313082
2.525e-5,25.25,13.909891100881614,13.73567402753246,0.31193547242507663,1.1250833495186973e-14,-4.003295670815231e-20,25.674027532457973
2.55e-5,25.5,13.909857278157805,13.735679053282396,0.2918565964232468,1.1250887762078242e-14,-4.003150752649321e-20,25.679053282395447
2.575e-5,25.75,13.909812749733415,13.735683157670687,0.27190049814441936,1.1250935073506946e-14,-4.0029937175799066e-20,25.683157670686
2.6e-5,26.0,13.909757519152938,13.735686340568838,0.25205737492489483,1.1250975943165152e-14,-4.003293085875817e-20,25.68634056883813
2.625e-5,26.25,13.909691590486403,13.735688601847636,0.2323182263649851,1.1251010873734698e-14,-4.0033743499086517e-20,25.688601847635262
2.65e-5,26.5,13.909614968329068,13.735689941377123,0.21267479055254,1.125104035795427e-14,-4.0031384741871034e-20,25.689941377122214
2.675e-5,26.75,13.909527657801123,13.735690359026114,0.1931194843813033,1.1251064879530032e-14,-4.003328790351476e-20,25.69035902611222
2.7e-5,27.0,13.909429664547408,13.735689854662981,0.1736453507800383,1.1251084914239368e-14,-4.003462884083589e-20,25.68985466297974
2.725e-5,27.25,13.90932099473702,13.735688428155415,0.15424600853898493,1.1251100930662582e-14,-4.003491156858432e-20,25.688428155413156
2.75e-5,27.5,13.909201655062951,13.735686079370304,0.13491560642312728,1.1251113390887637e-14,-4.003442043009562e-20,25.68607937030293
2.775e-5,27.75,13.909071652741659,13.735682808173799,0.11564878100734423,1.1251122751175165e-14,-4.0034754856632334e-20,25.682808173797525
2.8e-5,28.0,13.908930995512666,13.735678614431558,0.09644061822244489,1.1251129462606622e-14,-4.0032704676559424e-20,25.67861443155752
2.825e-5,28.25,13.908779691638044,13.735673498008838,0.07728661770454541,1.1251133971600126e-14,-4.00325366554975e-20,25.673498008836912
2.85e-5,28.5,13.908617749901968,13.735667458770221,0.0581826596200833,1.1251136720335583e-14,-4.003288239114415e-20,25.66745877022054
2.875e-5,28.75,13.908445179610174,13.735660496579623,0.039124974288103874,1.1251138147180772e-14,-4.0033040718683274e-20,25.6604965796224
2.9e-5,29.0,13.908261990589407,13.735652611300587,0.020110114713353534,1.1251138687122153e-14,-4.003267398040388e-20,25.652611300585487
2.925e-5,29.25,13.908068193186846,13.735643802796416,0.001134931068651218,1.1251138772111843e-14,-4.0032053594944465e-20,25.643802796413926
2.95e-5,29.5,13.907863798269497,13.735634070929533,-0.017803453659222545,1.1251138831277178e-14,-4.003176117367323e-20,25.634070929532626
2.975e-5,29.75,13.90764881722357,13.735623415562106,-0.03670766476476764,1.1251139291275245e-14,-4.003134112101842e-20,25.62341556210561
3.0e-5,30.0,13.907423261953802,13.735611836555707,-0.055580096183752405,1.1251140576499606e-14,-4.003267398040388e-20,25.611836555705672
3.025e-5,30.25,13.907187144882782,13.735599333771361,-0.07442292889782912,1.125114310929578e-14,-4.0034186169961204e-20,25.599333771360115
3.05e-5,30.5,13.906940478950235,13.735585907069513,-0.09323814792713557,1.1251147310151262e-14,-4.003438004041727e-20,25.585907069511794
3.075e-5,30.750000000000004,13.906683277612258,13.735571556309983,-0.11202755800293389,1.1251153597861873e-14,-4.003541240059583e-20,25.571556309981833
3.1e-5,31.0,13.906415554840569,13.735556281351913,-0.13079279800048646,1.1251162389679023e-14,-4.003585830264478e-20,25.556281351912048
3.125e-5,31.25,13.906137325121705,13.735540082053703,-0.14953535423243905,1.1251174101439372e-14,-4.00352298392497e-20,25.540082053702243
3.15e-5,31.5,13.905848603456171,13.735522958272993,-0.16825657267389757,1.1251189147678889e-14,-4.0036373674940494e-20,25.522958272991588
3.175e-5,31.75,13.905549405357624,13.735504909866513,-0.18695767030127444,1.1251207941732649e-14,-4.0037523972979826e-20,25.504909866512936
3.2e-5,32.0,13.905239746851962,13.735485936690042,-0.20563974547461084,1.1251230895821664e-14,-4.0037751770765705e-20,25.485936690040287
3.225e-5,32.25,13.904919644476418,13.735466038598311,-0.22430378749540222,1.1251258421127894e-14,-4.0039288194130036e-20,25.466038598310885
3.25e-5,32.5,13.904589115278641,13.735445215444924,-0.24295068546179294,1.1251290927859027e-14,-4.003912017306811e-20,25.44521544492355
3.275e-5,32.75,13.904248176815708,13.735423467082223,-0.26158123641139547,1.1251328825304157e-14,-4.003856441109405e-20,25.42346708222181
3.3e-5,33.0,13.903896847153142,13.73540079336119,-0.28019615282733157,1.1251372521881132e-14,-4.003686158225493e-20,25.400793361188846
3.325e-5,33.25,13.903535144863888,13.735377194131322,-0.29879606956238386,1.1251422425176477e-14,-4.003660955066204e-20,25.377194131322153
3.35e-5,33.5,13.903163089027283,13.73535266924051,-0.3173815502178513,1.12514789419786e-14,-4.0037079686518005e-20,25.35266924050986
3.375e-5,33.75,13.90278069922797,13.735327218534891,-0.33595309303213455,1.1251542478305088e-14,-4.003601016783537e-20,25.327218534890132
3.4e-5,34.0,13.902387995554797,13.735300841858685,-0.35451113631143916,1.1251613439424614e-14,-4.0034809786594886e-20,25.300841858683437
3.425e-5,34.25,13.901984998599689,13.735273539054084,-0.37305606343967845,1.1251692229874163e-14,-4.003229108625315e-20,25.273539054084154
