position_parameter_m,velocity_parameter_m_s,x1_m,x2_m,v1_m_s,v2_m_s,Q1_N,Q2_N,dissipation_W
-1.3810000000000002e-5,-0.0012243628540944279,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0012243628540944279,-0.0012243628540944279,2.6122874577399067e-6,1.4825068542266121e-5,2.1349650960027976e-8
-1.3810000000000002e-5,-0.001183550758957947,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.001183550758957947,-0.001183550758957947,2.5252112091485767e-6,1.4330899590857252e-5,1.9950062730426147e-8
-1.3810000000000002e-5,-0.001142738663821466,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.001142738663821466,-0.001142738663821466,2.4381349605572462e-6,1.383673063944838e-5,1.859791816962437e-8
-1.3810000000000002e-5,-0.001101926568684985,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.001101926568684985,-0.001101926568684985,2.3510587119659158e-6,1.3342561688039508e-5,1.7293217277622656e-8
-1.3810000000000002e-5,-0.0010611144735485042,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0010611144735485042,-0.0010611144735485042,2.2639824633745858e-6,1.2848392736630638e-5,1.6035960054421012e-8
-1.3810000000000002e-5,-0.0010203023784120233,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0010203023784120233,-0.0010203023784120233,2.1769062147832558e-6,1.2354223785221769e-5,1.482614650001943e-8
-1.3810000000000002e-5,-0.0009794902832755423,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0009794902832755423,-0.0009794902832755423,2.0898299661919253e-6,1.1860054833812897e-5,1.3663776614417904e-8
-1.3810000000000002e-5,-0.0009386781881390614,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0009386781881390614,-0.0009386781881390614,2.002753717600595e-6,1.1365885882404026e-5,1.2548850397616443e-8
-1.3810000000000002e-5,-0.0008978660930025804,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0008978660930025804,-0.0008978660930025804,1.915677469009265e-6,1.0871716930995156e-5,1.1481367849615044e-8
-1.3810000000000002e-5,-0.0008570539978660995,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0008570539978660995,-0.0008570539978660995,1.8286012204179347e-6,1.0377547979586286e-5,1.0461328970413709e-8
-1.3810000000000002e-5,-0.0008162419027296186,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0008162419027296186,-0.0008162419027296186,1.7415249718266044e-6,9.883379028177413e-6,9.488733760012434e-9
