position_parameter_m,velocity_parameter_m_s,x1_m,x2_m,v1_m_s,v2_m_s,Q1_N,Q2_N,dissipation_W
-2.0e-8,-0.0012243628540944279,0.0,-2.0e-8,-0.0,-0.0012243628540944279,1.1693146932637394e-7,1.7307336912029344e-7,2.1190460418386088e-10
-2.0e-8,-0.001183550758957947,0.0,-2.0e-8,-0.0,-0.001183550758957947,1.1303375368216149e-7,1.6730425681628367e-7,1.9801308013180784e-10
-2.0e-8,-0.001142738663821466,0.0,-2.0e-8,-0.0,-0.001142738663821466,1.0913603803794902e-7,1.6153514451227387e-7,1.8459245520016327e-10
-2.0e-8,-0.001101926568684985,0.0,-2.0e-8,-0.0,-0.001101926568684985,1.0523832239373654e-7,1.5576603220826407e-7,1.716427293889273e-10
-2.0e-8,-0.0010611144735485042,0.0,-2.0e-8,-0.0,-0.0010611144735485042,1.0134060674952408e-7,1.499969199042543e-7,1.5916390269809997e-10
-2.0e-8,-0.0010203023784120233,0.0,-2.0e-8,-0.0,-0.0010203023784120233,9.744289110531163e-8,1.4422780760024455e-7,1.471559751276812e-10
-2.0e-8,-0.0009794902832755423,0.0,-2.0e-8,-0.0,-0.0009794902832755423,9.354517546109916e-8,1.3845869529623475e-7,1.3561894667767097e-10
-2.0e-8,-0.0009386781881390614,0.0,-2.0e-8,-0.0,-0.0009386781881390614,8.964745981688669e-8,1.3268958299222495e-7,1.2455281734806935e-10
-2.0e-8,-0.0008978660930025804,0.0,-2.0e-8,-0.0,-0.0008978660930025804,8.574974417267423e-8,1.2692047068821518e-7,1.1395758713887629e-10
-2.0e-8,-0.0008570539978660995,0.0,-2.0e-8,-0.0,-0.0008570539978660995,8.185202852846176e-8,1.211513583842054e-7,1.0383325605009185e-10
-2.0e-8,-0.0008162419027296186,0.0,-2.0e-8,-0.0,-0.0008162419027296186,7.79543128842493e-8,1.1538224608019562e-7,9.417982408171595e-11
-2.0e-8,-0.0007754298075931377,0.0,-2.0e-8,-0.0,-0.0007754298075931377,7.405659724003684e-8,1.0961313377618584e-7,8.499729123374864e-11
-2.0e-8,-0.0007346177124566567,0.0,-2.0e-8,-0.0,-0.0007346177124566567,7.015888159582437e-8,1.0384402147217606e-7,7.628565750618991e-11
-2.0e-8,-0.0006938056173201758,0.0,-2.0e-8,-0.0,-0.0006938056173201758,6.62611659516119e-8,9.807490916816628e-8,6.804492289903977e-11
-2.0e-8,-0.0006529935221836949,0.0,-2.0e-8,-0.0,-0.0006529935221836949,6.236345030739943e-8,9.230579686415649e-8,6.027508741229821e-11
-2.0e-8,-0.0006121814270472139,0.0,-2.0e-8,-0.0,-0.0006121814270472139,5.846573466318697e-8,8.653668456014672e-8,5.297615104596522e-11
-2.0e-8,-0.000571369331910733,0.0,-2.0e-8,-0.0,-0.000571369331910733,5.456801901897451e-8,8.076757225613693e-8,4.6148113800040817e-11
-2.0e-8,-0.0005305572367742521,0.0,-2.0e-8,-0.0,-0.0005305572367742521,5.067030337476204e-8,7.499845995212715e-8,3.979097567452499e-11
-2.0e-8,-0.0004897451416377712,0.0,-2.0e-8,-0.0,-0.0004897451416377712,4.677258773054958e-8,6.922934764811738e-8,3.390473666941774e-11
-2.0e-8,-0.0004489330465012902,0.0,-2.0e-8,-0.0,-0.0004489330465012902,4.287487208633711e-8,6.346023534410759e-8,2.8489396784719073e-11
-2.0e-8,-0.0004081209513648093,0.0,-2.0e-8,-0.0,-0.0004081209513648093,3.897715644212465e-8,5.769112304009781e-8,2.3544956020428988e-11
-2.0e-8,-0.00036730885622832837,0.0,-2.0e-8,-0.0,-0.00036730885622832837,3.5079440797912184e-8,5.192201073608803e-8,1.907141437654748e-11
-2.0e-8,-0.00032649676109184744,0.0,-2.0e-8,-0.0,-0.00032649676109184744,3.1181725153699716e-8,4.6152898432078247e-8,1.5068771853074552e-11
-2.0e-8,-0.0002856846659553665,0.0,-2.0e-8,-0.0,-0.0002856846659553665,2.7284009509487255e-8,4.038378612806847e-8,1.1537028450010204e-11
-2.0e-8,-0.0002448725708188856,0.0,-2.0e-8,-0.0,-0.0002448725708188856,2.338629386527479e-8,3.461467382405869e-8,8.476184167354435e-12
-2.0e-8,-0.00020406047568240465,0.0,-2.0e-8,-0.0,-0.00020406047568240465,1.9488578221062326e-8,2.8845561520048906e-8,5.886239005107247e-12
-2.0e-8,-0.00016324838054592372,0.0,-2.0e-8,-0.0,-0.00016324838054592372,1.5590862576849858e-8,2.3076449216039123e-8,3.767192963268638e-12
-2.0e-8,-0.0001224362854094428,0.0,-2.0e-8,-0.0,-0.0001224362854094428,1.1693146932637395e-8,1.7307336912029344e-8,2.119046041838609e-12
-2.0e-8,-8.162419027296186e-5,0.0,-2.0e-8,-0.0,-8.162419027296186e-5,7.795431288424929e-9,1.1538224608019562e-8,9.417982408171595e-13
-2.0e-8,-4.081209513648093e-5,0.0,-2.0e-8,-0.0,-4.081209513648093e-5,3.8977156442124645e-9,5.769112304009781e-9,2.354495602042899e-13
-2.0e-8,0.0,0.0,-2.0e-8,0.0,0.0,-0.0,-0.0,0.0
-2.0e-8,4.081209513648093e-5,0.0,-2.0e-8,0.0,4.081209513648093e-5,-3.8977156442124645e-9,-5.769112304009781e-9,2.354495602042899e-13
-2.0e-8,8.162419027296186e-5,0.0,-2.0e-8,0.0,8.162419027296186e-5,-7.795431288424929e-9,-1.1538224608019562e-8,9.417982408171595e-13
-2.0e-8,0.0001224362854094428,0.0,-2.0e-8,0.0,0.0001224362854094428,-1.1693146932637395e-8,-1.7307336912029344e-8,2.119046041838609e-12
-2.0e-8,0.00016324838054592372,0.0,-2.0e-8,0.0,0.00016324838054592372,-1.5590862576849858e-8,-2.3076449216039123e-8,3.767192963268638e-12
-2.0e-8,0.00020406047568240465,0.0,-2.0e-8,0.0,0.00020406047568240465,-1.9488578221062326e-8,-2.8845561520048906e-8,5.886239005107247e-12
