x2_m,Q_v0_N,Q_vminus_N,Q_vplus_N
-1.3810000000000002e-5,0.002529830033865938,0.0026847015298978334,0.002374958537834043
-1.3808e-5,0.002454316198099798,0.002604564877357581,0.0023040675188420153
-1.3806000000000001e-5,0.0023795690366661955,0.002525241833528563,0.002233896239803828
-1.3804e-5,0.002305596495544234,0.0024467408308279665,0.002164452160260502
-1.3802000000000001e-5,0.0022324067730303443,0.0023690705694367022,0.0020957429766239864
-1.3800000000000002e-5,0.002160008333381586,0.002292240031777927,0.0020277766349852447
-1.3798e-5,0.0020884099215154233,0.0022162584981167102,0.0019605613449141363
-1.3796000000000001e-5,0.002017620578872738,0.002141135563394152,0.0018941055943513241
-1.3794e-5,0.001947649660564637,0.002066881155423885,0.001828418165705389
-1.3792000000000001e-5,0.0018785068539414213,0.0019935055545978043,0.0017635081532850383
-1.379e-5,0.0018102021987370341,0.0019210194152637183,0.00169938498221035
-1.3788e-5,0.0017427461089672505,0.0018494337889641056,0.0016360584289703954
-1.3786000000000002e-5,0.0016761493967809085,0.0017787601497474747,0.0015735386438143423
-1.3784e-5,0.001610423298495704,0.001709010421798022,0.001511836175193386
-1.3782000000000001e-5,0.0015455795030820119,0.0016401970096631788,0.001450961996500845
-1.378e-5,0.0014816301833983612,0.0015723328314012645,0.001390927535395458
-1.3778000000000001e-5,0.001418588030531637,0.0015054313550239323,0.0013317447060393417
-1.3776000000000002e-5,0.0013564662916485714,0.0014395066386648579,0.0012734259446322848
-1.3774e-5,0.00129527881183573,0.0013745733749810916,0.0012159842486903682
-1.3772000000000001e-5,0.0012350400804845283,0.0013106469403776806,0.001159433220591376
-1.377e-5,0.0011757652828760501,0.0012477434497504133,0.001103787116001687
-1.3768000000000001e-5,0.0011174703577415423,0.00118587981757006,0.0010490608979130246
-1.3766000000000002e-5,0.0010601720617175508,0.0011250738262833346,0.000995270297151767
-1.3764e-5,0.001003888041796949,0.001065344203199238,0.0009424318803946601
-1.3763966666666669e-5,0.0010029586725747574,0.0010643579397193767,0.0009415594054301379
-1.3762000000000001e-5,0.000948636917097765,0.001006710707263623,0.0008905631269319071
-1.376e-5,0.0008944383715493913,0.0009491942274194805,0.0008396825156793021
-1.3758000000000001e-5,0.000841313259446674,0.0008928168946228548,0.0007898096242704932
-1.3756e-5,0.0007892837262628582,0.0008376022100517321,0.0007409652424739844
-1.3754e-5,0.0007383733476826648,0.000783575192650465,0.0006931715027148647
-1.3752000000000001e-5,0.0006886072905475041,0.0007307625499277527,0.0006464520311672555
-1.375e-5,0.0006400125003661182,0.0006791928769463368,0.0006008321237858996
-1.3748000000000001e-5,0.0005926179213100036,0.0006288968897861347,0.0005563389528338724
-1.3746e-5,0.0005464547563104319,0.0005799077015639176,0.0005130018110569461
-1.3744000000000001e-5,0.0005015567771799474,0.0005322611515398695,0.0004708524028200252
-1.3742000000000002e-5,0.00045796069785634805,0.00048599620121087174,0.00042992519450182437
-1.374e-5,0.00041570662832470813,0.00044115541602078866,0.0003902578406286276
-1.3738000000000001e-5,0.00037483863313775257,0.0003977855580724222,0.00035189170820308294
-1.3736e-5,0.00033540542774554996,0.00035593832508521513,0.0003148725304058848
-1.3734000000000001e-5,0.0002974612597317775,0.0003156712855791636,0.00027925123388439135
-1.3732000000000002e-5,0.0002610670433735068,0.0002770490828902458,0.0002450850038567678
-1.373e-5,0.00022629184971893656,0.00024014501646794578,0.00021243868296992735
-1.3728000000000001e-5,0.000193214909848648,0.00020504316777244242,0.0001813866519248536
-1.3726e-5,0.0001619283840497805,0.00017184133897248487,0.0001520154291270761
-1.3725600000000001e-5,0.00015589516990888787,0.00016543878266734696,0.0001463515571504288
-1.37252e-5,0.00014993883033743,0.0001591178070500058,0.00014075985362485422
-1.3724800000000001e-5,0.00014406037098128185,0.00015287947933010908,0.00013524126263245463
-1.37244e-5,0.0001382608380345573,0.0001467249097478312,0.0001297967663212834
-1.3724000000000001e-5,0.00013254132104155393,0.00014065525454734807,0.00012442738753575978
-1.37236e-5,0.00012690295597720183,0.00013467171924586515,0.00011913419270853851
-1.3723200000000001e-5,0.00012134692864356453,0.0001287755622380459,0.00011391829504908315
-1.37228e-5,0.00011587447842448743,0.00012296809878051287,0.000108780858068462
-1.3722400000000001e-5,0.0001104869024493698,0.00011725070541051795,0.00010372309948822165
-1.3722e-5,0.00010518556022439826,0.00011162482486069154,9.874629558810498e-5
-1.3721600000000001e-5,9.997187880187002e-5,0.00010609197154482201,9.385178605891802e-5
-1.3721200000000002e-5,9.484735856999447e-5,0.00010065373770209826,8.904097943789067e-5
-1.37208e-5,8.981357976310652e-5,9.531180030586625e-5,8.431535922034678e-5
-1.3720400000000002e-5,8.487220981160068e-5,9.00679288635123e-5,7.967649075968906e-5
-1.372e-5,8.002501167613413e-5,8.492399426087071e-5,7.512602909139756e-5
-1.3719600000000002e-5,7.527385334312839e-5,7.988197883902229e-5,7.066572784723448e-5
-1.37192e-5,7.062071869776155e-5,7.49439879329111e-5,6.6297449462612e-5
-1.3718800000000002e-5,6.606772004366628e-5,7.011226315747503e-5,6.202317692985754e-5
-1.37184e-5,6.161711260423132e-5,6.538919779669004e-5,5.7845027411772606e-5
-1.3718000000000001e-5,5.727131142938154e-5,6.0777354745351954e-5,5.376526811341112e-5
-1.3717933333333335e-5,5.655738008869329e-5,6.001971785396808e-5,5.30950423234185e-5
-1.37176e-5,5.3032911246668905e-5,5.62794875754143e-5,4.978633491792351e-5
-1.3717200000000001e-5,4.89047099527053e-5,5.189856546552302e-5,4.5910854439887576e-5
-1.37168e-5,4.488973665215777e-5,4.7637802956506926e-5,4.214167034780861e-5
-1.3716400000000001e-5,4.0991285446460076e-5,4.350069580857144e-5,3.848187508434871e-5
-1.3716e-5,3.721295658679624e-5,3.949106467359134e-5,3.4934848500001144e-5
-1.3715600000000001e-5,3.355870720064257e-5,3.561310892703747e-5,3.150430547424767e-5
-1.37152e-5,3.0032914671232116e-5,3.187147392741432e-5,2.8194355415049908e-5
-1.3714800000000001e-5,2.6640457061135327e-5,2.827133636322291e-5,2.5009577759047744e-5
-1.37144e-5,2.3386816999817692e-5,2.4818514500321736e-5,2.195511949931365e-5
-1.3714000000000001e-5,2.0278218704970263e-5,2.1519613591448682e-5,1.9036823818491843e-5
-1.37138e-5,1.8780502309172084e-5,1.993020977960133e-5,1.7630794838742837e-5
-1.37136e-5,1.732181321400971e-5,1.8382222447249485e-5,1.6261403980769937e-5
-1.3713400000000002e-5,1.5903232290691416e-5,1.6876798634529296e-5,1.4929665946853535e-5
-1.3713200000000001e-5,1.4525936331696551e-5,1.5415187174970046e-5,1.3636685488423055e-5
-1.3713e-5,1.3191213291835494e-5,1.3998754869583497e-5,1.2383671714087491e-5
-1.37128e-5,1.1900481194545044e-5,1.2629006550567555e-5,1.1171955838522532e-5
-1.3712600000000001e-5,1.0655311937009872e-5,1.1307610343733064e-5,1.000301353028668e-5
-1.3712400000000001e-5,9.457461782802822e-6,1.0036430027846894e-5,8.87849353775875e-6
-1.37122e-5,8.30891121163281e-6,8.817567323907406e-6,7.800255099358212e-6
-1.3712e-5,7.211918243255964e-6,7.65341848344639e-6,6.770418003065536e-6
-1.3711800000000001e-5,6.169091834874221e-6,6.546752179180083e-6,5.791431490568359e-6
-1.3711600000000001e-5,5.183496412612933e-6,5.500820435709683e-6,4.866172389516183e-6
-1.37114e-5,4.258807056561809e-6,4.5195233147022845e-6,3.9980907984213334e-6
-1.37112e-5,3.399551832624511e-6,3.607666081846215e-6,3.1914375834028066e-6
-1.3711000000000001e-5,2.611513673273979e-6,2.7713856899997965e-6,2.4516416565481615e-6
-1.3710800000000001e-5,1.9024419927454818e-6,2.018905958144829e-6,1.7859780273461345e-6
-1.37106e-5,1.2833759780628678e-6,1.3619418718317317e-6,1.204810084294004e-6
-1.37104e-5,7.709612177902718e-7,8.181580316407625e-7,7.237644039397812e-7
-1.3710200000000001e-5,3.8923911597498355e-7,4.130676117229997e-7,3.654106202269674e-7
-1.3710000000000001e-5,1.5811388300841899e-7,1.67793321262026e-7,1.4843444475481198e-7
-1.37098e-5,5.5368854910520175e-8,5.875843337182941e-8,5.197927644921094e-8
-1.3709600000000002e-5,1.9772593078988787e-8,2.098303450374071e-8,1.8562151654236866e-8
-1.3709400000000001e-5,7.983554168449598e-9,8.472292526824619e-9,7.494815810074578e-9
-1.37092e-5,3.691293577880512e-9,3.917267714896223e-9,3.4653194408648014e-9
-1.3709e-5,1.9145984381263665e-9,2.031806598533823e-9,1.7973902777189098e-9
-1.3708800000000002e-5,1.0878565864430102e-9,1.1544531461941497e-9,1.0212600266918708e-9
-1.3708600000000001e-5,6.640484673486939e-10,7.047002811856978e-10,6.2339665351169e-10
-1.37084e-5,4.290924718002709e-10,4.553607159724616e-10,4.0282422762808015e-10
-1.37082e-5,2.902908553628649e-10,3.0806192237234453e-10,2.725197883533853e-10
-1.3708000000000002e-5,2.0391083005832174e-10,2.1639387235187036e-10,1.9142778776477312e-10
-1.3707800000000001e-5,1.4778083525323574e-10,1.5682770351479135e-10,1.3873396699168013e-10
-1.37076e-5,1.0995904272649522e-10,1.1669053109580046e-10,1.0322755435719e-10
-1.37074e-5,8.367502119894847e-11,8.879745058752636e-11,7.855259181037058e-11
-1.3707200000000002e-5,6.491827530610758e-11,6.889245154794135e-11,6.094409906427381e-11
-1.3707000000000001e-5,5.122164737446497e-11,5.4357341493005975e-11,4.808595325592397e-11
-1.37068e-5,4.101666945731581e-11,4.352763378142625e-11,3.850570513320537e-11
-1.37066e-5,3.327704218105999e-11,3.5314200898091246e-11,3.123988346402874e-11
-1.3706400000000001e-5,2.7313908395960213e-11,2.8986015137967883e-11,2.5641801653952543e-11
-1.3706200000000001e-5,2.2654319317550213e-11,2.4041174670410416e-11,2.126746396469001e-11
-1.3706e-5,1.8966921612352586e-11,2.012804132628694e-11,1.780580189841823e-11
-1.3705600000000001e-5,1.362797431386205e-11,1.4462253590184423e-11,1.2793695037539677e-11
-1.37052e-5,1.0073232481467867e-11,1.0689897065016289e-11,9.456567897919444e-12
-1.3704800000000001e-5,7.625687421550432e-12,8.092517842344593e-12,7.1588570007562704e-12
-1.37044e-5,5.891831250093352e-12,6.252518216353792e-12,5.531144283832912e-12
-1.3704000000000001e-5,4.6331656744688536e-12,4.916799471903193e-12,4.349531877034515e-12
-1.37036e-5,3.6998648921686736e-12,3.926363749125733e-12,3.473366035211615e-12
-1.3703200000000001e-5,2.9948385415014444e-12,3.1781769947127677e-12,2.8115000882901206e-12
-1.37028e-5,2.4534373495274716e-12,2.603632227308026e-12,2.3032424717469168e-12
-1.3702400000000001e-5,2.031569496886621e-12,2.155938408261674e-12,1.9072005855115686e-12
-1.3702e-5,1.698516450270748e-12,1.8024964727098281e-12,1.5945364278316678e-12
-1.3701600000000001e-5,1.432465198527388e-12,1.5201580574704732e-12,1.3447723395843026e-12
-1.37012e-5,1.2176586999494133e-12,1.2922015040086507e-12,1.143115895890176e-12
-1.3700800000000001e-5,1.0425366965089202e-12,1.1063588567708008e-12,9.787145362470399e-13
-1.37004e-5,8.984975527055078e-13,9.535019041069653e-13,8.434932013040504e-13
-1.3700000000000001e-5,7.790581762502752e-13,8.267506708593331e-13,7.313656816412171e-13
-1.36996e-5,6.792742676473048e-13,7.208581766998714e-13,6.376903585947382e-13
-1.3699200000000001e-5,5.953339531600969e-13,6.317791920617063e-13,5.588887142584876e-13
-1.36988e-5,5.242688452896123e-13,5.563636102762799e-13,4.921740803029446e-13
-1.3698400000000001e-5,4.637458696879661e-13,4.921355305173379e-13,4.353562088585944e-13
-1.3698000000000002e-5,4.119154400406254e-13,4.3713213823139927e-13,3.866987418498515e-13
