velocity_m_s,Qtranslation1_N,Qtranslation2_N,Qrelative1_N,Qrelative2_N
-0.0012243628540944279,0.0,0.0,0.0,0.0
-0.001183550758957947,0.0,0.0,0.0,0.0
-0.001142738663821466,0.0,0.0,0.0,0.0
-0.001101926568684985,0.0,0.0,0.0,0.0
-0.0010611144735485042,0.0,0.0,0.0,0.0
-0.0010203023784120233,0.0,0.0,0.0,0.0
-0.0009794902832755423,0.0,0.0,0.0,0.0
-0.0009386781881390614,0.0,0.0,0.0,0.0
-0.0008978660930025804,0.0,0.0,0.0,0.0
-0.0008570539978660995,0.0,0.0,0.0,0.0
-0.0008162419027296186,0.0,0.0,0.0,0.0
-0.0007754298075931377,0.0,0.0,0.0,0.0
-0.0007346177124566567,0.0,0.0,0.0,0.0
-0.0006938056173201758,0.0,0.0,0.0,0.0
-0.0006529935221836949,0.0,0.0,0.0,0.0
-0.0006121814270472139,0.0,0.0,0.0,0.0
-0.000571369331910733,0.0,0.0,0.0,0.0
-0.0005305572367742521,0.0,0.0,0.0,0.0
-0.0004897451416377712,0.0,0.0,0.0,0.0
-0.0004489330465012902,0.0,0.0,0.0,0.0
-0.0004081209513648093,0.0,0.0,0.0,0.0
-0.00036730885622832837,0.0,0.0,0.0,0.0
-0.00032649676109184744,0.0,0.0,0.0,0.0
-0.0002856846659553665,0.0,0.0,0.0,0.0
-0.0002448725708188856,0.0,0.0,0.0,0.0
-0.00020406047568240465,0.0,0.0,0.0,0.0
-0.00016324838054592372,0.0,0.0,0.0,0.0
-0.0001224362854094428,0.0,0.0,0.0,0.0
-8.162419027296186e-5,0.0,0.0,0.0,0.0
-4.081209513648093e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
4.081209513648093e-5,0.0,0.0,0.0,0.0
8.162419027296186e-5,0.0,0.0,0.0,0.0
0.0001224362854094428,0.0,0.0,0.0,0.0
0.00016324838054592372,0.0,0.0,0.0,0.0
0.00020406047568240465,0.0,0.0,0.0,0.0
0.0002448725708188856,0.0,0.0,0.0,0.0
0.0002856846659553665,0.0,0.0,0.0,0.0
0.00032649676109184744,0.0,0.0,0.0,0.0
0.00036730885622832837,0.0,0.0,0.0,0.0
0.0004081209513648093,0.0,0.0,0.0,0.0
0.0004489330465012902,0.0,0.0,0.0,0.0
0.0004897451416377712,0.0,0.0,0.0,0.0
0.0005305572367742521,0.0,0.0,0.0,0.0
0.000571369331910733,0.0,0.0,0.0,0.0
0.0006121814270472139,0.0,0.0,0.0,0.0
0.0006529935221836949,0.0,0.0,0.0,0.0
0.0006938056173201758,0.0,0.0,0.0,0.0
0.0007346177124566567,0.0,0.0,0.0,0.0
0.0007754298075931377,0.0,0.0,0.0,0.0
0.0008162419027296186,0.0,0.0,0.0,0.0
0.0008570539978660995,0.0,0.0,0.0,0.0
0.0008978660930025804,0.0,0.0,0.0,0.0
0.0009386781881390614,0.0,0.0,0.0,0.0
0.0009794902832755423,0.0,0.0,0.0,0.0
0.0010203023784120233,0.0,0.0,0.0,0.0
0.0010611144735485042,0.0,0.0,0.0,0.0
0.001101926568684985,0.0,0.0,0.0,0.0
0.001142738663821466,0.0,0.0,0.0,0.0
0.001183550758957947,0.0,0.0,0.0,0.0
0.0012243628540944279,0.0,0.0,0.0,0.0
