cycle,end_time_s,period1_scaled_error,period2_scaled_error,mean_load_power_W
1,0.05,NaN,NaN,2.6589801911171005e-20
2,0.1,0.22588256692887942,NaN,1.176063563797939e-17
3,0.15000000000000002,0.2648546487913341,0.4891270313722907,2.491000988936991e-16
4,0.2,0.22274691949867637,0.48740542505565115,1.1281111379802136e-15
5,0.25,0.06186550752302222,0.2828450277885487,1.4494748124957995e-15
6,0.30000000000000004,2.366512032184187e-5,0.06186851443216368,1.4494748785906562e-15
7,0.35000000000000003,1.3244581958948842e-9,2.366444006739188e-5,1.4494748786865087e-15
8,0.4,1.176213015874339e-9,1.4913340840028155e-9,1.4494748787174508e-15
9,0.45,1.3431320500245647e-9,1.289659962155909e-9,1.4494748786849361e-15
10,0.5,1.371219769674692e-9,1.4174089679741542e-9,1.4494748786821802e-15
