cycle,end_time_s,period1_scaled_error,period2_scaled_error,mean_load_power_W
1,0.05,NaN,NaN,5.238625329122181e-21
2,0.1,0.15073141169212756,NaN,2.2076670812496547e-18
3,0.15000000000000002,0.1770105174694983,0.32698145035621257,4.0005186200376846e-17
4,0.2,0.1498283977332318,0.3264755886531409,1.4828317112063636e-16
5,0.25,0.04241704565872989,0.19078148779523674,1.816299119565655e-16
6,0.30000000000000004,1.1943724434672343e-5,0.042419587168559925,1.8162993981145176e-16
7,0.35000000000000003,1.7438095057352443e-8,1.1948171173850608e-5,1.8162993997142755e-16
8,0.4,5.691481938518983e-10,1.7447085945247742e-8,1.8162993991552881e-16
9,0.45,6.224438534041532e-10,6.24569812535114e-10,1.8162993999525085e-16
10,0.5,6.324224685605451e-10,8.527980058237183e-10,1.8162993993023668e-16
