relative_displacement_m,Q1_N,Q2_N
-2.0e-8,-3.615513117184558e-5,3.615513117184558e-5
-1.9933333333333333e-8,-3.603461406793942e-5,3.603461406793942e-5
-1.9866666666666666e-8,-3.591409696403327e-5,3.591409696403327e-5
-1.9800000000000002e-8,-3.579357986012712e-5,3.579357986012712e-5
-1.9733333333333335e-8,-3.567306275622097e-5,3.567306275622097e-5
-1.9666666666666667e-8,-3.5552545652314816e-5,3.5552545652314816e-5
-1.96e-8,-3.543202854840866e-5,3.543202854840866e-5
-1.9533333333333333e-8,-3.531151144450251e-5,3.531151144450251e-5
-1.9466666666666666e-8,-3.519099434059636e-5,3.519099434059636e-5
-1.9400000000000002e-8,-3.507047723669021e-5,3.507047723669021e-5
-1.9333333333333334e-8,-3.4949960132784056e-5,3.4949960132784056e-5
-1.9266666666666667e-8,-3.48294430288779e-5,3.48294430288779e-5
-1.92e-8,-3.470892592497175e-5,3.470892592497175e-5
-1.9133333333333333e-8,-3.45884088210656e-5,3.45884088210656e-5
-1.906666666666667e-8,-3.446789171715945e-5,3.446789171715945e-5
-1.9e-8,-3.4347374613253295e-5,3.4347374613253295e-5
-1.8933333333333334e-8,-3.422685750934715e-5,3.422685750934715e-5
-1.8866666666666667e-8,-3.410634040544099e-5,3.410634040544099e-5
-1.88e-8,-3.398582330153484e-5,3.398582330153484e-5
-1.8733333333333332e-8,-3.386530619762868e-5,3.386530619762868e-5
-1.866666666666667e-8,-3.374478909372254e-5,3.374478909372254e-5
-1.86e-8,-3.3624271989816386e-5,3.3624271989816386e-5
-1.8533333333333334e-8,-3.350375488591023e-5,3.350375488591023e-5
-1.8466666666666667e-8,-3.338323778200408e-5,3.338323778200408e-5
-1.84e-8,-3.326272067809793e-5,3.326272067809793e-5
-1.8333333333333332e-8,-3.3142203574191774e-5,3.3142203574191774e-5
-1.8266666666666668e-8,-3.3021686470285626e-5,3.3021686470285626e-5
-1.82e-8,-3.290116936637947e-5,3.290116936637947e-5
-1.8133333333333334e-8,-3.278065226247332e-5,3.278065226247332e-5
-1.8066666666666666e-8,-3.266013515856717e-5,3.266013515856717e-5
-1.8e-8,-3.253961805466101e-5,3.253961805466101e-5
-1.7933333333333335e-8,-3.2419100950754865e-5,3.2419100950754865e-5
-1.7866666666666668e-8,-3.229858384684872e-5,3.229858384684872e-5
-1.78e-8,-3.217806674294256e-5,3.217806674294256e-5
-1.7733333333333333e-8,-3.205754963903641e-5,3.205754963903641e-5
-1.7666666666666666e-8,-3.193703253513025e-5,3.193703253513025e-5
-1.76e-8,-3.1816515431224105e-5,3.1816515431224105e-5
-1.7533333333333335e-8,-3.1695998327317957e-5,3.1695998327317957e-5
-1.7466666666666668e-8,-3.15754812234118e-5,3.15754812234118e-5
-1.74e-8,-3.145496411950565e-5,3.145496411950565e-5
-1.7333333333333333e-8,-3.13344470155995e-5,3.13344470155995e-5
-1.7266666666666666e-8,-3.1213929911693344e-5,3.1213929911693344e-5
-1.7200000000000002e-8,-3.1093412807787196e-5,3.1093412807787196e-5
-1.7133333333333335e-8,-3.097289570388104e-5,3.097289570388104e-5
-1.7066666666666667e-8,-3.085237859997489e-5,3.085237859997489e-5
-1.7e-8,-3.073186149606874e-5,3.073186149606874e-5
-1.6933333333333333e-8,-3.061134439216258e-5,3.061134439216258e-5
