time_s,x1_m,x2_m,v1_m_s,v2_m_s,Vout_V,Wbase_J,Wbias_J,ER_J,Dfilm_J,Dstruct_J,Dwall_J,throughput_J,Q1_suspension_linear_N,Q2_suspension_linear_N,Q1_suspension_cubic_N,Q2_suspension_cubic_N,Q1_electrode_bending_N,Q2_electrode_bending_N,Q1_soft_stop_N,Q2_soft_stop_N,Q1_hard_stop_N,Q2_hard_stop_N,Q1_contact_N,Q2_contact_N,Q1_electrostatic_N,Q2_electrostatic_N,Q1_fluid_N,Q2_fluid_N,Q1_structural_damping_N,Q2_structural_damping_N,Q1_base_N,Q2_base_N,Q1_net_N,Q2_net_N,Q1_balance_residual_N,Q2_balance_residual_N,C_F,Vc_V,charge_C,current_A,kinetic_J,spring_J,wall_J,electric_J,total_J,residual_J,Pbase_W,Pbias_W,Presistor_W,Pfluid_W,Pstruct_W,Pwall_W,hmin_plus_m,hmin_minus_m,overlap_plus_m,overlap_minus_m,chi_plus,chi_minus,D11_Ns_m,D12_Ns_m,D22_Ns_m,Dmineig_Ns_m,Kn_max,root_accel_m_s2,tip_accel_m_s2,wall_elastic_N,wall_rate_N,tip_not_min_flag
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,5.647888085338401e-12,3.0,1.69436642560152e-11,0.0,0.0,1.8593749952566967e-27,8.980207670733813e-29,2.5415496384022802e-11,2.5415496384022805e-11,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.376000007293946e-5,1.376000007293946e-5,-1.3710000000000001e-5,-1.3710000000000001e-5,0.0,0.0,8.636876489052818e-5,9.550376898750818e-5,0.00014135746020385495,1.4480472997394924e-5,0.005087209275359136,0.0,0.0,0.0,0.0,0.0
2.0e-5,-1.2157636743897226e-20,-1.1867193687524355e-20,-3.038942313269003e-15,-2.971590094478625e-15,-1.2878177334236774e-32,7.897335483531313e-36,-2.7274344807577884e-42,1.7824537248084948e-50,6.802753266792143e-35,0.0,2.4397761471893335e-52,7.592485172643809e-35,3.9876288667686416e-20,0.0,5.45517118517774e-52,0.0,5.250503400556436e-19,-5.250503400556436e-19,6.8178672347692675e-37,0.0,0.0,0.0,0.0,2.4832318161120824e-36,-5.955700410381799e-23,-1.1911400820763599e-22,5.462677480792624e-19,7.102868731752382e-19,0.0,0.0,-1.2847153896730516e-15,-1.3160647425493018e-17,-1.2836042548532532e-15,-1.2975530006381631e-17,0.0,-1.5407439555097887e-33,5.647888085338401e-12,3.0,1.69436642560152e-11,-3.0662326986278034e-38,9.850415896707855e-36,1.8593749952570157e-27,8.980207670733811e-29,2.5415496384022802e-11,2.5415496384022805e-11,6.013019991182461e-35,3.943284007711832e-30,-9.19869809588341e-38,3.9487488440964237e-70,3.770757610577976e-33,0.0,7.228433314931457e-51,1.3760000072939473e-5,1.3760000072939449e-5,-1.3710000000000013e-5,-1.3709999999999989e-5,0.0,0.0,8.636876489052816e-5,9.550376898750815e-5,0.00014135746020385495,1.4480472997394937e-5,0.00508720927535914,-6.076443982695371e-10,-5.961049642517197e-10,4.995850990994722e-38,2.433273306202135e-36,0.0
4.0e-5,-3.887461749172859e-19,-3.829332358201159e-19,-4.8577188869293114e-14,-4.797675339482341e-14,4.6559222780154867e-29,2.5059516910884136e-33,1.2769964219520719e-39,2.0749736873455088e-48,1.5560068742490532e-34,0.0,5.524786756331368e-52,2.665293248431782e-33,1.2750631570927657e-18,0.0,1.7834431938576115e-47,0.0,1.050837877760661e-17,-1.050837877760661e-17,2.207578390844256e-35,0.0,0.0,0.0,0.0,4.087781604984505e-35,-1.753209308306142e-21,-3.863760641235192e-21,8.777512577484623e-18,1.1421176632554435e-17,0.0,0.0,-1.0277690414754939e-14,-1.0528484439762302e-16,-1.0257131213452062e-14,-1.0437591030331643e-16,0.0,0.0,5.6478880853384016e-12,3.0,1.6943664256015205e-11,1.1085529233370207e-34,2.5174435362161634e-33,1.859374995535077e-27,8.980207670733811e-29,2.5415496384022805e-11,2.541549638402281e-11,3.2311719174329834e-27,5.043125334335512e-28,3.325658770011062e-34,5.161336252124028e-63,9.743378610578502e-31,0.0,1.8845794065617666e-48,1.3760000072939842e-5,1.3760000072939076e-5,-1.3710000000000384e-5,-1.3709999999999618e-5,0.0,0.0,8.636876489052819e-5,9.550376898750815e-5,0.00014135746020385495,1.4480472997394961e-5,0.005087209275359278,-4.855473789435588e-9,-4.809091187119471e-9,1.597202949179783e-36,3.9280613100665265e-35,0.0
8.333333333333333e-5,-1.523064159079789e-17,-1.5115577335644523e-17,-9.132314804104234e-13,-9.076732133396534e-13,4.459817005567563e-26,8.933154906673984e-31,2.5927952379918938e-36,3.2672886630425665e-47,-2.7788829354426224e-33,0.0,-1.5245962877806504e-50,8.72955886435286e-31,4.995555250271767e-17,0.0,1.072544918212358e-42,0.0,2.0800816191303553e-16,-2.0800816191303553e-16,8.6697410350547e-34,0.0,0.0,0.0,0.0,8.063626760411957e-34,-6.890745374811742e-20,-1.5234681649756643e-19,1.6556088790513634e-16,2.1552342847000235e-16,0.0,0.0,-9.293208114320153e-14,-9.519979010714877e-16,-9.250862544833438e-14,-9.446349813310186e-16,0.0,0.0,5.6478880853384016e-12,3.0,1.6943664256015205e-11,1.0618611918018008e-31,8.898394220827176e-31,1.8593753876514065e-27,8.980207670733811e-29,2.5415496384022805e-11,2.541549638402281e-11,3.2302781708188664e-27,8.573260503398567e-26,3.1855835754054022e-31,4.7357066007499114e-57,3.468202576290178e-28,0.0,6.745564848800264e-46,1.3760000072954577e-5,1.3760000072924345e-5,-1.3710000000015117e-5,-1.3709999999984885e-5,0.0,0.0,8.636876489052819e-5,9.550376898750816e-5,0.00014135746020385495,1.4480472997394948e-5,0.005087209275364724,-4.37906385542587e-8,-4.3589716628672106e-8,6.319163756432912e-35,7.431710384768666e-34,0.0
0.00012,-9.416275969931365e-17,-9.366535547745483e-17,-3.9194821820787276e-12,-3.902879864724819e-12,1.26882287549569e-24,1.6491404258136233e-29,1.070184194994498e-34,8.881152052437865e-45,8.477036299969198e-32,0.0,1.6403830462986196e-49,1.6572742177556032e-29,3.0884796664126766e-16,0.0,2.5345357945835388e-40,0.0,8.991857443367736e-16,-8.991857443367736e-16,5.359760532122286e-33,0.0,0.0,0.0,0.0,3.587094479931137e-33,-4.264728171364147e-19,-9.435467267657625e-19,7.112605720632481e-16,9.260265060261665e-16,0.0,0.0,-2.774882197735421e-13,-2.842594285491271e-15,-2.7556935196331796e-13,-2.816697070528644e-15,0.0,0.0,5.6478880853384016e-12,3.0,1.6943664256015205e-11,3.0210068464183096e-30,1.639168218845394e-29,1.8593897598745226e-27,8.980207670733813e-29,2.5415496384022805e-11,2.541549638402281e-11,3.2147675268717084e-27,1.09870443713957e-24,9.063020539254929e-30,3.833122593764646e-54,6.401943343588025e-27,0.0,1.2471802448266888e-44,1.3760000073033124e-5,1.3760000072845794e-5,-1.3710000000093666e-5,-1.3709999999906336e-5,0.0,0.0,8.636876489052816e-5,9.550376898750815e-5,0.00014135746020385492,1.4480472997394934e-5,0.005087209275393765,-1.3044519143679208e-7,-1.3003071223824937e-7,3.915556988909654e-34,3.195538781040171e-33,0.0
0.00016666666666666666,-4.856587063506261e-16,-4.838083032962641e-16,-1.454774763748178e-11,-1.4503412305276587e-11,2.5443604993477257e-23,2.278508556710253e-28,2.995329099187224e-33,9.765896605189921e-43,1.5009597161486991e-30,0.0,2.7013528031096314e-48,2.264107930099372e-28,1.5929302031609073e-15,0.0,3.4773982437426085e-38,0.0,3.3450782575620714e-15,-3.3450782575620714e-15,2.764348939122531e-32,0.0,0.0,0.0,0.0,1.38973965732957e-32,-2.2011412584837138e-18,-4.872127722342448e-18,2.6416015337221186e-15,3.4395302574218626e-15,0.0,0.0,-7.434155664544243e-13,-7.615562356748718e-15,-7.358381576012377e-13,-7.525982484611269e-15,-1.0097419586828951e-28,1.5777218104420236e-30,5.647888085338401e-12,3.0,1.69436642560152e-11,6.058001188923156e-29,2.258229588355426e-28,1.8597649003390957e-27,8.980207670733811e-29,2.5415496384022802e-11,2.5415496384022805e-11,-2.263528912839748e-28,1.0925473691351002e-23,1.817400356676947e-28,1.5413738930097636e-51,8.831427793123758e-26,0.0,1.7222623577634606e-43,1.3760000073423268e-5,1.3760000072455651e-5,-1.3710000000483809e-5,-1.3709999999516193e-5,0.0,0.0,8.636876489052818e-5,9.550376898750815e-5,0.00014135746020385495,1.4480472997394948e-5,0.005087209275538004,-3.483198797389964e-7,-3.475257144910507e-7,2.0225203151943032e-33,1.1874876258101396e-32,0.0
0.00025,-3.673148268564425e-15,-3.663833193434226e-15,-7.327436086517799e-11,-7.312611446907889e-11,1.0102063170624015e-21,5.813741076667551e-27,1.792167698442399e-31,3.1954016072307153e-41,6.189868619315082e-29,0.0,1.1982683312259896e-46,5.842063772395558e-27,1.2047696749124533e-14,0.0,1.504444850217033e-35,0.0,1.683938816039733e-14,-1.683938816039733e-14,2.0907427159318465e-31,0.0,0.0,0.0,0.0,7.518940587933723e-32,-1.6657837208257695e-17,-3.688604981090966e-17,1.3312435589277265e-14,1.7334899448700626e-14,0.0,0.0,-2.5087964572186327e-12,-2.5700155770830326e-14,-2.466613594557042e-12,-2.524153053233794e-14,0.0,0.0,5.647888085338401e-12,3.0,1.69436642560152e-11,2.4052531358628607e-27,5.729142983214596e-27,1.8815799135667448e-27,8.980207670733813e-29,2.5415496384022802e-11,2.541549638402281e-11,-2.520847339458948e-27,1.8570980947628908e-22,7.215759407588582e-27,2.4298019119828125e-48,2.243094050758795e-24,0.0,4.378284024707495e-42,1.3760000076603294e-5,1.3760000069275628e-5,-1.3710000003663833e-5,-1.3709999996336168e-5,0.0,0.0,8.636876489052819e-5,9.550376898750815e-5,0.00014135746020385495,1.4480472997394961e-5,0.005087209276713691,-1.1676052596940499e-6,-1.1658449207047122e-6,1.531634755911679e-32,5.987305832022044e-32,0.0
0.00026000000000000003,-4.466636114887977e-15,-4.455748260424145e-15,-8.566423742668043e-11,-8.549769499257061e-11,1.4407666264369166e-21,7.951949047560608e-27,2.659441994528593e-31,3.684753786978998e-42,8.882939961136109e-29,0.0,1.7333413133910794e-46,8.040434989882131e-27,1.465028729207539e-14,0.0,2.705220149900904e-35,0.0,1.9682590315991598e-14,-1.9682590315991598e-14,2.5423937414923576e-31,0.0,0.0,0.0,0.0,8.862935147917075e-32,-2.025726525371636e-17,-4.485778458870775e-17,1.5564066493366243e-14,2.0266994559122367e-14,0.0,0.0,-2.8220166402776024e-12,-2.8908788927187656e-14,-2.772139953441423e-12,-2.8369242468645594e-14,0.0,3.1554436208840472e-30,5.647888085338401e-12,3.0,1.69436642560152e-11,3.430396729611706e-27,7.830425910799212e-27,1.8922008970022474e-27,8.980207670733813e-29,2.5415496384022802e-11,2.5415496384022812e-11,-1.4010370565781674e-27,2.442175383130848e-22,1.0291190188835119e-26,4.94240112346289e-48,3.0660652066442994e-24,0.0,5.985049519523418e-42,1.3760000077395208e-5,1.376000006848371e-5,-1.371000000445575e-5,-1.3709999995544252e-5,0.0,0.0,8.636876489052818e-5,9.550376898750815e-5,0.00014135746020385495,1.4480472997394948e-5,0.005087209277006471,-1.3122300964600617e-6,-1.3103299074861911e-6,1.8626884952497906e-32,7.000246652667284e-32,0.0
0.00028000000000000003,-6.463166242360375e-15,-6.448548108521558e-15,-1.1506767227027741e-10,-1.148602069757279e-10,2.8165129797357843e-21,1.436955775667217e-26,5.603653504780985e-31,6.570650199634322e-42,1.7270710423701807e-28,0.0,3.3706961946369702e-46,1.4541918615308407e-26,2.1198781327051885e-14,0.0,8.195904224553546e-35,0.0,2.642602732150121e-14,-2.642602732150121e-14,3.67881113361026e-31,0.0,0.0,0.0,0.0,1.2100106265443525e-31,-2.931445993212134e-17,-6.491764815232201e-17,2.0907835405679225e-14,2.722574352700887e-14,0.0,0.0,-3.5245297312322303e-12,-3.610534559348561e-14,-3.45602640163793e-12,-3.537054703613027e-14,0.0,0.0,5.6478880853384016e-12,3.0,1.6943664256015205e-11,6.7059832850852e-27,1.4128438822222805e-26,1.928073768784894e-27,8.98020767073381e-29,2.5415496384022805e-11,2.541549638402282e-11,1.958460321140697e-27,4.0970649948807714e-22,2.0117949855255603e-26,1.8887488964333682e-47,5.532970488921923e-24,0.0,1.0801849616373689e-41,1.376000007938801e-5,1.3760000066490913e-5,-1.3710000006448549e-5,-1.3709999993551453e-5,0.0,0.0,8.636876489052816e-5,9.550376898750815e-5,0.00014135746020385495,1.4480472997394937e-5,0.005087209277743228,-1.635956498428466e-6,-1.6337613766385836e-6,2.6957617824879274e-32,9.404344482955598e-32,0.0
0.00032,-1.2573312419152992e-14,-1.2548471578376145e-14,-1.9574818019587888e-10,-1.954401898329265e-10,9.409058902129515e-21,4.1717516603098707e-26,2.1427953924635696e-30,1.8644177098559074e-41,5.718451901775828e-28,0.0,1.1163704616799435e-45,4.2289869851311304e-26,4.123967890279563e-14,0.0,6.034065431575642e-34,0.0,4.490619283529171e-14,-4.490619283529171e-14,7.156684438385309e-31,0.0,0.0,0.0,0.0,2.1247729541272052e-31,-5.703549827563433e-17,-1.2631793408852765e-16,3.557180329376515e-14,4.63216178376941e-14,0.0,0.0,-5.2607706672381665e-12,-5.3891428789933686e-14,-5.139110027704589e-12,-5.2602321721619825e-14,0.0,-6.310887241768095e-30,5.6478880853384016e-12,3.0,1.6943664256015205e-11,2.2402521195546464e-26,4.088697740198137e-26,2.1191924325049552e-27,8.980207670733813e-29,2.5415496384022805e-11,2.5415496384022847e-11,8.574512728948675e-28,1.0403188356128028e-21,6.720756358663938e-26,2.107866414851016e-46,1.6016221544607509e-23,0.0,3.1274234552720845e-41,1.376000008548793e-5,1.3760000060390988e-5,-1.3710000012548472e-5,-1.370999998745153e-5,0.0,0.0,8.636876489052816e-5,9.550376898750815e-5,0.00014135746020385495,1.4480472997394937e-5,0.005087209279998431,-2.4326654327225674e-6,-2.429821783179471e-6,5.245783130498618e-32,1.6001946410773434e-31,0.0
