position_parameter_m,velocity_parameter_m_s,x1_m,x2_m,v1_m_s,v2_m_s,Q1_N,Q2_N,dissipation_W
-2.0e-8,-0.001,0.0,-2.0e-8,-0.0,-0.001,9.550393409546849e-8,1.4135790590306925e-7,1.4135790590306923e-10
-2.0e-8,-0.0009666666666666667,0.0,-2.0e-8,-0.0,-0.0009666666666666667,9.232046962561954e-8,1.3664597570630026e-7,1.320911098494236e-10
-2.0e-8,-0.0009333333333333333,0.0,-2.0e-8,-0.0,-0.0009333333333333333,8.91370051557706e-8,1.319340455095313e-7,1.2313844247556254e-10
-2.0e-8,-0.0009,0.0,-2.0e-8,-0.0,-0.0009,8.595354068592164e-8,1.272221153127623e-7,1.1449990378148608e-10
-2.0e-8,-0.0008666666666666666,0.0,-2.0e-8,-0.0,-0.0008666666666666666,8.27700762160727e-8,1.2251018511599334e-7,1.0617549376719422e-10
-2.0e-8,-0.0008333333333333334,0.0,-2.0e-8,-0.0,-0.0008333333333333334,7.958661174622375e-8,1.1779825491922438e-7,9.8165212432687e-11
-2.0e-8,-0.0008,0.0,-2.0e-8,-0.0,-0.0008,7.64031472763748e-8,1.130863247224554e-7,9.046905977796431e-11
-2.0e-8,-0.0007666666666666667,0.0,-2.0e-8,-0.0,-0.0007666666666666667,7.321968280652585e-8,1.0837439452568642e-7,8.308703580302626e-11
-2.0e-8,-0.0007333333333333333,0.0,-2.0e-8,-0.0,-0.0007333333333333333,7.00362183366769e-8,1.0366246432891745e-7,7.601914050787279e-11
-2.0e-8,-0.0007,0.0,-2.0e-8,-0.0,-0.0007,6.685275386682795e-8,9.895053413214847e-8,6.926537389250393e-11
-2.0e-8,-0.0006666666666666666,0.0,-2.0e-8,-0.0,-0.0006666666666666666,6.366928939697899e-8,9.423860393537949e-8,6.282573595691966e-11
-2.0e-8,-0.0006333333333333333,0.0,-2.0e-8,-0.0,-0.0006333333333333333,6.048582492713004e-8,8.952667373861052e-8,5.670022670111999e-11
-2.0e-8,-0.0006,0.0,-2.0e-8,-0.0,-0.0006,5.730236045728109e-8,8.481474354184154e-8,5.088884612510492e-11
-2.0e-8,-0.0005666666666666667,0.0,-2.0e-8,-0.0,-0.0005666666666666667,5.411889598743215e-8,8.010281334507258e-8,4.539159422887446e-11
-2.0e-8,-0.0005333333333333334,0.0,-2.0e-8,-0.0,-0.0005333333333333334,5.0935431517583196e-8,7.53908831483036e-8,4.020847101242859e-11
