x2_m,Q_v0_N,Q_vminus_N,Q_vplus_N
-1.3810000000000002e-5,0.002529830033865938,0.002656321535559235,0.002403338532172641
-1.3808e-5,0.002454316198099798,0.002577032008004788,0.002331600388194808
-1.3806000000000001e-5,0.0023795690366661955,0.0024985474884995054,0.0022605905848328855
-1.3804e-5,0.002305596495544234,0.0024208763203214458,0.0021903166707670225
-1.3802000000000001e-5,0.0022324067730303443,0.0023440271116818615,0.002120786434378827
-1.3800000000000002e-5,0.002160008333381586,0.0022680087500506654,0.0020520079167125065
-1.3798e-5,0.0020884099215154233,0.0021928304175911945,0.001983989425439652
-1.3796000000000001e-5,0.002017620578872738,0.002118501607816375,0.001916739549929101
-1.3794e-5,0.001947649660564637,0.002045032143592869,0.001850267177536405
-1.3792000000000001e-5,0.0018785068539414213,0.0019724321966384925,0.0017845815112443502
-1.379e-5,0.0018102021987370341,0.0019007123086738859,0.0017196920888001824
-1.3788e-5,0.0017427461089672505,0.001829883414415613,0.001655608803518888
-1.3786000000000002e-5,0.0016761493967809085,0.001759956866619954,0.001592341926941863
-1.3784e-5,0.001610423298495704,0.0016909444634204893,0.0015299021335709187
-1.3782000000000001e-5,0.0015455795030820119,0.0016228584782361126,0.001468300527927911
-1.378e-5,0.0014816301833983612,0.0015557116925682794,0.001407548674228443
-1.3778000000000001e-5,0.001418588030531637,0.001489517432058219,0.0013476586290050551
-1.3776000000000002e-5,0.0013564662916485714,0.0014242896062309999,0.0012886429770661428
-1.3774e-5,0.00129527881183573,0.0013600427524275165,0.0012305148712439434
-1.3772000000000001e-5,0.0012350400804845283,0.0012967920845087548,0.0011732880764603018
-1.377e-5,0.0011757652828760501,0.0012345535470198526,0.0011169770187322476
-1.3768000000000001e-5,0.0011174703577415423,0.0011733438756286194,0.0010615968398544652
-1.3766000000000002e-5,0.0010601720617175508,0.0011131806648034285,0.0010071634586316732
-1.3764e-5,0.001003888041796949,0.0010540824438867965,0.0009536936397071016
-1.3763966666666669e-5,0.0010029586725747574,0.0010531066062034952,0.0009528107389460194
-1.3762000000000001e-5,0.000948636917097765,0.0009960687629526532,0.0009012050712428767
-1.376e-5,0.0008944383715493913,0.0009391602901268609,0.0008497164529719217
-1.3758000000000001e-5,0.000841313259446674,0.0008833789224190077,0.0007992475964743403
-1.3756e-5,0.0007892837262628582,0.0008287479125760012,0.0007498195399497152
-1.3754e-5,0.0007383733476826648,0.0007752920150667981,0.0007014546802985316
-1.3752000000000001e-5,0.0006886072905475041,0.0007230376550748793,0.0006541769260201289
-1.375e-5,0.0006400125003661182,0.0006720131253844241,0.0006080118753478123
-1.3748000000000001e-5,0.0005926179213100036,0.0006222488173755038,0.0005629870252445034
-1.3746e-5,0.0005464547563104319,0.0005737774941259535,0.0005191320184949102
-1.3744000000000001e-5,0.0005015567771799474,0.0005266346160389448,0.00047647893832095
-1.3742000000000002e-5,0.00045796069785634805,0.00048085873274916546,0.00043506266296353065
-1.374e-5,0.00041570662832470813,0.00043649195974094357,0.0003949212969084727
-1.3738000000000001e-5,0.00037483863313775257,0.00039358056479464024,0.0003560967014808649
-1.3736e-5,0.00033540542774554996,0.00035217569913282746,0.00031863515635827247
-1.3734000000000001e-5,0.0002974612597317775,0.00031233432271836635,0.0002825881967451886
-1.3732000000000002e-5,0.0002610670433735068,0.00027412039554218216,0.00024801369120483143
-1.373e-5,0.00022629184971893656,0.0002376064422048834,0.00021497725723298972
-1.3728000000000001e-5,0.000193214909848648,0.00020287565534108043,0.0001835541643562156
-1.3726e-5,0.0001619283840497805,0.00017002480325226953,0.00015383196484729144
-1.3725600000000001e-5,0.00015589516990888787,0.00016368992840433226,0.00014810041141344348
-1.37252e-5,0.00014993883033743,0.00015743577185430152,0.0001424418888205585
-1.3724800000000001e-5,0.00014406037098128185,0.00015126338953034595,0.00013685735243221776
-1.37244e-5,0.0001382608380345573,0.00014517387993628517,0.00013134779613282942
-1.3724000000000001e-5,0.00013254132104155393,0.00013916838709363162,0.00012591425498947623
-1.37236e-5,0.00012690295597720183,0.00013324810377606192,0.00012055780817834173
-1.3723200000000001e-5,0.00012134692864356453,0.00012741427507574277,0.0001152795822113863
-1.37228e-5,0.00011587447842448743,0.0001216682023457118,0.00011008075450326305
-1.3722400000000001e-5,0.0001104869024493698,0.0001160112475718383,0.0001049625573269013
-1.3722e-5,0.00010518556022439826,0.00011044483823561818,9.992628221317834e-5
-1.3721600000000001e-5,9.997187880187002e-5,0.00010497047274196352,9.497328486177651e-5
-1.3721200000000002e-5,9.484735856999447e-5,9.958972649849419e-5,9.010499064149474e-5
-1.37208e-5,8.981357976310652e-5,9.430425875126184e-5,8.532290077495119e-5
-1.3720400000000002e-5,8.487220981160068e-5,8.911582030218072e-5,8.062859932102064e-5
-1.372e-5,8.002501167613413e-5,8.402626225994084e-5,7.602376109232743e-5
-1.3719600000000002e-5,7.527385334312839e-5,7.90375460102848e-5,7.151016067597197e-5
-1.37192e-5,7.062071869776155e-5,7.415175463264964e-5,6.708968276287347e-5
-1.3718800000000002e-5,6.606772004366628e-5,6.93711060458496e-5,6.276433404148296e-5
-1.37184e-5,6.161711260423132e-5,6.469796823444289e-5,5.853625697401975e-5
-1.3718000000000001e-5,5.727131142938154e-5,6.013487700085062e-5,5.4407745857912456e-5
-1.3717933333333335e-5,5.655738008869329e-5,5.9385249093127955e-5,5.372951108425862e-5
-1.37176e-5,5.3032911246668905e-5,5.568455680900235e-5,5.038126568433546e-5
-1.3717200000000001e-5,4.89047099527053e-5,5.134994545034057e-5,4.645947445507003e-5
-1.37168e-5,4.488973665215777e-5,4.713422348476566e-5,4.2645249819549876e-5
-1.3716400000000001e-5,4.0991285446460076e-5,4.304084971878308e-5,3.894172117413707e-5
-1.3716e-5,3.721295658679624e-5,3.9073604416136054e-5,3.535230875745643e-5
-1.3715600000000001e-5,3.355870720064257e-5,3.52366425606747e-5,3.188077184061044e-5
-1.37152e-5,3.0032914671232116e-5,3.1534560404793724e-5,2.853126893767051e-5
