gap_nm,legacy_film,corrected_film,force_ratio
1.0000000000000007,0.003775109250150216,0.00014671420694474478,71.12539280679083
1.1543400612197559,0.0035747064583435363,0.00014636085241404492,61.80192580851056
1.3325009769368288,0.0033578178100072942,0.0001459744319584766,53.71719330656052
1.5381592592926367,0.0031269278699347083,0.00014555234317227542,46.706627865801636
1.7755588535375952,0.0028854296056492422,0.00014509184443893276,40.62752551688954
2.049598715691866,0.002637441407363112,0.00014459005603902018,35.35614104460423
2.3659339069476797,0.0023875190074999614,0.00014404396256223432,30.785169194919696
2.7310922909878688,0.0021403050958057135,0.00014345041675039487,26.82156052677739
3.1526092423757373,0.0019001748604504977,0.00014280614489318137,23.384627447044537
3.6391831458459745,0.0016709346898105513,0.0001421077538912261,20.404401874499776
4.200854895365742,0.0014556148735803416,0.00014135174009195347,17.82021110114893
4.849215097091781,0.0012563724315614556,0.00014053449999261008,15.57944286103579
5.597643252044687,0.0010744962924044254,0.00013965234289277796,13.636474468395544
6.461583854251613,0.0009104907342473432,0.00013870150556601524,11.951744226926817
7.458865101893387,0.000764206595437596,0.00013767816900805844,10.490946208122361
8.610066798349507,0.0006349916550094983,0.0001365784773083271,9.224332007966307
9.938945035112914,0.0005218382737024317,0.00013539855868359608,8.126105268998375
11.47292242029202,0.00042351445860364995,0.00013413454870901093,7.17389664310185
13.243653969009392,0.00033867167893010124,0.00013278261578353505,6.34830850783385
15.287680333359551,0.00026592800348301267,0.00013133898887573634,5.632520169017656
17.647181851918248,0.0002039283627599987,0.00012979998761261576,5.011945513567366
20.37084897929946,0.0001513853435468005,0.0001281620547994938,4.473936144176455
23.51488705786292,0.00010710441391294153,0.00012642179149263715,4.007523953312057
27.14417616594911,6.999730884194861e-5,0.00012457599478704937,3.6031978967609044
31.3336099771614,3.908681645987725e-5,0.00012262169852696482,3.2527104231157637
36.16964125927242,1.3505606457749884e-5,0.00012055621719154321,2.9489096192428246
41.7520659055251,7.508843345105898e-6,0.00011837719324637559,2.6855936552205297
48.196082313435085,2.4621681432545956e-5,0.00011608264827358952,2.457384566143847
55.634668608243004,3.8409361778322975e-5,0.00011367103818813956,2.2596188017859102
64.22132676717979,4.936878634142989e-5,0.00011114131280182788,2.088252316412789
74.13325027204021,5.792638459605399e-5,0.00010849297989527995,1.9397782670053356
85.5749806574463,6.444679288634478e-5,0.00010572617378775087,1.811155644779078
98.78262841099593,6.92409328832101e-5,0.00010284172814476746,1.6997473874331728
114.02874532739715,7.257338438335208e-5,9.984125243033123e-5,1.6032667125329751
131.62794886203923,7.46690131983632e-5,9.672721100010949e-5,1.5197305797657386
151.94341454763716,7.571885801322211e-5,9.350300336481445e-5,1.4474193349122118
175.3943704508578,7.58853071561266e-5,9.017304366432036e-5,1.3848417142020604
202.46474832384357,7.530661203612899e-5,8.674283693270726e-5,1.3307044968298736
233.71316997498744,7.410079218129566e-5,8.321904936054375e-5,1.2838861880224826
269.78447493679,7.236898998533628e-5,7.960956952924332e-5,1.243414197093605
311.4230273146731,7.019833329891929e-5,7.592355754191528e-5,1.208445046069531
359.48807641566117,6.766436211144128e-5,7.217147911085285e-5,1.1782472061684428
414.9714881374263,6.483307249679894e-5,6.83651219422942e-5,1.1521862129231204
479.01821302100865,6.176262711921853e-5,6.451759209284129e-5,1.1297117571424928
552.9499133440487,5.850477706052945e-5,6.0643288227538836e-5,1.1103464891577364
638.2922368210262,5.510603458569158e-5,5.6757851741476996e-5,1.0936763087142498
736.8062997280779,5.160863076890575e-5,5.287809039334433e-5,1.0793419431641305
850.525029135209,4.805128580997963e-5,4.902187238672386e-5,1.0670316429028472
981.795114200871,4.4469813662377875e-5,4.520798677603528e-5,1.056474845814915
1133.3254322318878,4.089757667941742e-5,4.14559648544997e-5,1.047436682311368
1308.242948824463,3.7365800864683115e-5,3.778585612513706e-5,1.0397132097590778
1510.1572456363406,3.390375853066921e-5,3.4217952006690556e-5,1.0331272800656888
1743.23500737931,3.053882325573662e-5,3.077245110522581e-5,1.0275249571922815
2012.2860051386492,2.729640243932503e-5,2.7469062215341037e-5,1.0227724126725626
2322.8623503634044,2.419975579523345e-5,2.4326545633203272e-5,1.0187532370358994
2681.3730677235517,2.126971385079739e-5,2.1362200070978596e-5,1.015366113538081
3095.2163511490066,1.8524318621990138e-5,1.859131128336349e-5,1.0125228079405566
3572.932232273731,1.5978418296266547e-5,1.602658874997059e-5,1.0101464343583937
4124.378811736888,1.3643257575621915e-5,1.3677627080393418e-5,1.0081699625067606
4760.935690033819,1.1526113352983661e-5,1.1550437309129875e-5,1.006534936086272
5495.738795896945,9.630029312869726e-6,9.64709764240185e-6,1.0051903756241827
6343.951458103463,7.953700654882401e-6,7.965571303160201e-6,1.0040918419048073
7323.077314522292,6.491549948474648e-6,6.499729399217259e-6,1.0032006382765106
8453.321515562662,5.234017034910392e-6,5.239599096630574e-6,1.0024831317497993
9758.007675784856,4.1680616367263495e-6,4.171833544466686e-6,1.001910174081999
11264.059177848332,3.2778505009251717e-6,3.2803735437634476e-6,1.0014566051982212
13002.554760940364,2.545576309542156e-6,2.5472466971616374e-6,1.0011008225609284
15009.369858757116,1.952338145654242e-6,1.953432619331038e-6,1.0008244016825916
17325.916921627606,1.479006633401692e-6,1.4797163614509798e-6,1.0006117550144749
20000.0,1.1070022379177552e-6,1.1074577692207129e-6,1.000449818957298
