cycle,end_time_s,period1_scaled_error,period2_scaled_error,mean_load_power_W
1,0.05,NaN,NaN,4.9344610247255865e-20
2,0.1,0.2633671603194283,NaN,2.254905692207267e-17
3,0.15000000000000002,0.3084963565151563,0.5696645860591136,5.40640099715369e-16
4,0.2,0.2584752295023557,0.5669653894569726,3.030004355306442e-15
5,0.25,0.07022769014258212,0.3275341953186936,4.133909288065627e-15
6,0.30000000000000004,7.151194699224483e-5,0.07023505844335431,4.133910873130331e-15
7,0.35000000000000003,1.5519323742774205e-9,7.151187074134861e-5,4.133910873207595e-15
8,0.4,1.6558841658964596e-9,1.8144947905307518e-9,4.1339108733754475e-15
9,0.45,1.942879163108202e-9,1.6172745781473097e-9,4.1339108730644745e-15
10,0.5,2.096955137309564e-9,1.7842684066349257e-9,4.133910873185067e-15
