cycle,end_time_s,period1_scaled_error,period2_scaled_error,mean_load_power_W
1,0.05,NaN,NaN,5.525082688871197e-20
2,0.1,0.27085554061634237,NaN,2.543207129231958e-17
3,0.15000000000000002,0.3171981414534035,0.5857244062641309,6.284782672538844e-16
4,0.2,0.2656243322698363,0.5828201447780406,3.755261610431789e-15
5,0.25,0.07171798904853499,0.33657837565741444,5.2284922311267256e-15
6,0.30000000000000004,0.00010210119926481933,0.07172682401319641,5.228497493102065e-15
7,0.35000000000000003,1.9213518692717813e-9,0.0001021011778056277,5.2284974931176e-15
8,0.4,1.3998116554780893e-9,1.92785362673753e-9,5.228497493127902e-15
9,0.45,1.9280627094886427e-9,1.385742423587466e-9,5.228497493238885e-15
10,0.5,1.5578674184002494e-9,1.7371063892879235e-9,5.228497492944862e-15
