t_s,t_us,x1_um,x2_um,Vout_mV,ER_J,energy_residual_J,tip_overlap_nm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13710.0
6.25e-5,62.5,-6.330173149912757e-12,-6.267139765812457e-12,9.557155415274161e-24,-8.2368872328056e-46,3.23089890658412e-27,-13709.999999993735
0.000125,125.0,-2.0205488302057105e-10,-2.01029832044441e-10,5.6442186344281676e-21,1.921341713337231e-43,-6.969080045135865e-29,-13709.99999979897
0.0001875,187.5,-1.5300829782598998e-9,-1.5249013660023553e-9,2.275175108998518e-19,8.612016606985805e-42,1.456714145369706e-27,-13709.9999984751
0.00025,250.0,-6.428009470007301e-9,-6.411708088619538e-9,3.093756084506206e-18,9.785603070369632e-41,1.772251604365384e-27,-13709.999993588293
0.0003125,312.5,-1.955108948082244e-8,-1.95115225377492e-8,2.3264385205088918e-17,5.125585304546779e-40,-9.233972936122453e-28,-13709.99998048848
0.000375,375.0,-4.847276348544781e-8,-4.839125585029927e-8,1.204008725606777e-16,1.4477733319005695e-39,-2.8943799006617278e-27,-13709.999951608745
0.0004375,437.5,-1.043586917195125e-7,-1.0420876682367977e-7,4.81684318944633e-16,2.029861182819504e-39,5.109146854428168e-29,-13709.999895791234
0.0005,500.0,-2.0261046225680575e-7,-2.0235665159164732e-7,1.5963314169686237e-15,1.8621943208652468e-39,5.631235138025009e-28,-13709.999797643348
0.0005625,562.5,-3.634753643963352e-7,-3.630721049823537e-7,4.5822709580663505e-15,1.6723946339851237e-38,1.7424799990279948e-27,-13709.999636927896
0.000625,625.0,-6.126188640674283e-7,-6.120094896384896e-7,1.1742903308316096e-14,9.90928761292223e-38,-1.7742516062377067e-27,-13709.99938799051
0.0006875,687.5,-9.816566800993943e-7,-9.80772511216214e-7,2.7453424960690592e-14,3.16690282653021e-37,1.4346308999030844e-27,-13709.99901922749
0.00075,750.0,-1.5086436405056638e-6,-1.5074031780107252e-6,5.949284691734842e-14,6.99899629082825e-37,2.997125888164835e-27,-13709.998492596822
0.0008125,812.5,-2.2385167857700042e-6,-2.236825011418263e-6,1.20956776705132e-13,1.140395300036128e-36,3.768145510723497e-27,-13709.99776317499
0.000875,875.0,-3.223490491006286e-6,-3.221238278396099e-6,2.3290072931929307e-13,1.3169828475929813e-36,-1.2906547424422998e-27,-13709.996778761722
0.0009375,937.5,-4.523401690539466e-6,-4.520465328772731e-6,4.2787581249330975e-13,8.790838806031327e-37,1.6518610690385808e-27,-13709.995479534673
0.001,1000.0,-6.206003608318085e-6,-6.202244440113119e-6,7.545266855954326e-13,3.995059371087663e-37,-2.094209239585933e-27,-13709.99379775556
0.0010625,1062.5,-8.347206723324788e-6,-8.342470898600625e-6,1.2834421375350749e-12,2.4929137947918288e-36,5.6543211227604965e-27,-13709.991657529103
0.001125,1125.0,-1.1031266026930988e-5,-1.1025384372132786e-5,2.114378922116686e-12,9.937832787424429e-36,3.767482413738655e-27,-13709.98897461563
0.0011875,1187.5,-1.4350913961884229e-5,-1.4343701964822898e-5,3.385102343742114e-12,2.2734589606856646e-35,-4.8375681872180746e-27,-13709.985656298037
0.00125,1250.0,-1.8407438761261066e-5,-1.8398696670253352e-5,5.2819287837383315e-12,3.7621793019255486e-35,5.0487880677965454e-27,-13709.98160130333
0.0013125,1312.5,-2.331070823424132e-5,-2.3300221269865583e-5,8.052133810098402e-12,4.75230171762474e-35,3.667840357305335e-27,-13709.976699778732
0.001375,1375.0,-2.9179139369305928e-5,-2.916667804638853e-5,1.2018329133453157e-11,4.370563924084646e-35,5.175112254303651e-27,-13709.970833321955
0.0014375,1437.5,-3.6139614442991225e-5,-3.61249349998087e-5,1.7594887479890843e-11,2.3586984655315464e-35,-2.357546841991937e-27,-13709.963875065001
0.0015,1500.0,-4.432734463186402e-5,-4.431018956294062e-5,2.53064595856329e-11,8.580891597397042e-36,3.852015427365786e-27,-13709.955689810438
0.0015625,1562.5,-5.388568242581077e-5,-5.386578111411392e-5,3.580872321195317e-11,4.6508088806603057e-35,-3.358860642536781e-28,-13709.946134218888
0.001625,1625.0,-6.49658844271926e-5,-6.494295387091723e-5,4.9910862783882017e-11,1.594596198398125e-34,7.407687207329386e-27,-13709.93505704613
0.0016875,1687.5,-7.772682640089077e-5,-7.77005720298107e-5,6.860041916469716e-11,3.1882523887235718e-34,2.848798100858486e-27,-13709.92229942797
0.00175,1750.0,-9.233467269549738e-5,-9.230478927093526e-5,9.306975204662974e-11,4.668264266072903e-34,-1.839475708270925e-27,-13709.90769521073
0.0018125,1812.5,-0.00010896250240627283,-0.00010892867499861565,1.2474422786594647e-10,5.2758108093847785e-34,-2.112752881300598e-27,-13709.891071325002
0.001875,1875.0,-0.0001277898948767469,-0.00012775179991396425,1.6531184804043213e-10,4.397745314190941e-34,-1.4060504939157324e-28,-13709.872248200087
0.0019375,1937.5,-0.00014900247734658941,-0.00014895978372686666,2.1675404314793473e-10,2.224800589491556e-34,3.1068731617869408e-27,-13709.851040216274
0.002,2000.0,-0.00017279143774448223,-0.00017274380800578088,2.8137731420772005e-10,8.858744269822993e-35,-2.3658463544043922e-27,-13709.827256191995
0.0020625,2062.5,-0.00019935300579613908,-0.0001993000973352349,3.6184587088176316e-10,3.784505650957927e-34,4.351389054655387e-27,-13709.800699902666
0.002125,2125.0,-0.00022888790576505388,-0.00022882937209831202,4.6121301083580864e-10,1.1456930255082084e-33,-3.302625004830505e-27,-13709.771170627902
0.0021875,2187.5,-0.00026160078427871686,-0.0002615362763370824,5.829537699470119e-10,2.113728255001934e-33,-5.843316289327391e-28,-13709.738463723663
0.00225,2250.0,-0.0002976996167905602,-0.000297628784240546,7.309958149219485e-10,2.9095730052070864e-33,-6.637145612322436e-28,-13709.70237121576
0.0023125,2312.5,-0.0003373950963196752,-0.0003373175889024553,9.097493353324428e-10,3.159804045564169e-33,-1.3509922855180196e-27,-13709.662682411099
0.002375,2375.0,-0.00038090000816822027,-0.000380815477048828,1.1241352147060948e-9,2.66497239304856e-33,7.842610827530916e-27,-13709.619184522951
0.0024375,2437.5,-0.0004284285943559814,-0.0004283366934746464,1.3796110072662033e-9,1.67677191507181e-33,4.293704401425734e-27,-13709.571663306526
0.0025,2500.0,-0.0004801959115278781,-0.00048009629894561035,1.6821942556851493e-9,1.3049454409815156e-33,3.697856367445446e-27,-13709.519903701055
0.0025625,2562.5,-0.0005364171860843638,-0.0005363095253150145,2.038483918010357e-9,2.992964250118067e-33,1.4273680708023578e-27,-13709.463690474686
0.002625,2625.0,-0.0005973071702531413,-0.0005971911315742342,2.4556748618497386e-9,6.720046671515221e-33,-9.057731824923265e-28,-13709.402808868426
0.0026875,2687.5,-0.0006630795027781075,-0.0006629547645134278,2.9415724914603563e-9,1.1225519122086377e-32,3.4755565295417815e-28,-13709.337045235487
0.00275,2750.0,-0.0007339460778195938,-0.0007338123275860222,3.5046006281455684e-9,1.5153027307544395e-32,-3.07253447937524e-27,-13709.266187672414
0.0028125,2812.5,-0.000810116425577006,-0.0008099733614889111,4.153805474719147e-9,1.742871677038081e-32,-2.133202473158576e-27,-13709.190026638513
0.002875,2875.0,-0.0008917971080291235,-0.0008916444398537828,4.898854788994878e-9,1.7818611592042784e-32,7.210181981113491e-27,-13709.108355560147
0.0029375,2937.5,-0.00097919113305787,-0.000979028583315791,5.750032091872141e-9,1.7697061006890876e-32,1.497370183528741e-27,-13709.020971416685
0.003,3000.0,-0.0010724973900734386,-0.0010723246950778674,6.718225806624911e-9,2.1057950385739466e-32,-6.316034289544469e-28,-13708.927675304922
0.0030625,3062.5,-0.0011719101100944778,-0.0011717270209247066,7.814915395966992e-9,3.243181401880723e-32,3.6853651710121396e-28,-13708.828272979075
0.003125,3125.0,-0.0012776183530532105,-0.001277424636456753,9.05214633672757e-9,5.154461985237327e-32,-8.598941126913713e-28,-13708.722575363545
0.0031875,3187.5,-0.0013898055249090039,-0.0013896009641286519,1.0442507441110079e-8,7.489776629840914e-32,1.6371999197285457e-27,-13708.610399035872
0.00325,3250.0,-0.001508648926935952,-0.0015084333224573859,1.1999098927651171e-8,9.941248617342106e-32,-2.3654116539603508e-27,-13708.491566677543
0.0033125,3312.5,-0.0016343193393395228,-0.0016340925095562353,1.3735497172945395e-8,1.2341305845543063e-31,-1.4668761643472801e-27,-13708.365907490444
0.003375,3375.0,-0.0017669806411241768,-0.0017667424229168731,1.566571530717008e-8,1.4790278158462296e-31,1.9353689270446777e-27,-13708.233257577083
0.0034375,3437.5,-0.0019067894678970957,-0.0019065397171252557,1.7804160052812868e-8,1.7815771071948777e-31,1.0658094964088002e-26,-13708.093460282875
0.0035,3500.0,-0.002053894909048432,-0.002053633500952244,2.016558527470429e-8,2.256591966863242e-31,-1.8813508291504934e-27,-13707.946366499049
0.0035625,3562.5,-0.0022084382454989897,-0.00220816507501047,2.276504557393992e-8,3.023802407309746e-31,5.8913915813033664e-27,-13707.79183492499
0.003625,3625.0,-0.0023705527289480817,-0.002370267710910501,2.5617839294969453e-8,4.086109384382146e-31,4.779746165554015e-27,-13707.62973228909
0.0036875,3687.5,-0.0025403634033054658,-0.0025400664726014954,2.873946005357786e-8,5.382363049742683e-31,-4.865514181546395e-27,-13707.4599335274
0.00375,3750.0,-0.0027179869687244925,-0.0027176780803129462,3.214554108649609e-8,6.8744146203146e-31,4.2549651150404866e-27,-13707.282321919689
0.0038125,3812.5,-0.0029035316884032914,-0.0029032108172656165,3.585180099269307e-8,8.566326850250923e-31,4.694556698916929e-27,-13707.096789182735
0.003875,3875.0,-0.0030970973380629735,-0.0030967644790608926,3.987398986871646e-8,1.0527216468665335e-30,5.116621935113458e-28,-13706.90323552094
0.0039375,3937.5,-0.003298775197761364,-0.003298430365407732,4.4227836526763654e-8,1.2917778696130231e-30,3.4579398075992284e-27,-13706.701569634593
0.004,4000.0,-0.003508648085454835,-0.003508291313600053,4.892899746743463e-8,1.60204912295966e-30,4.025334947027241e-27,-13706.4917086864
0.0040625,4062.5,-0.003726790431482079,-0.0037264217729190948,5.399301129920633e-8,2.0117288866369417e-30,6.138830053140383e-27,-13706.273578227081
0.004125,4125.0,-0.003953268392907992,-0.003952887918898975,5.943524692728509e-8,2.5261089251992274e-30,2.3069158652419633e-27,-13706.047112081102
0.0041875,4187.5,-0.004188140006450636,-0.004187747806179734,6.527086662754431e-8,3.140064920684742e-30,-1.6250149461563966e-27,-13705.81225219382
0.00425,4250.0,-0.004431455378494766,-0.004431051558450537,7.15147863570541e-8,3.854922410395767e-30,3.689794424698241e-27,-13705.56894844155
0.0043125,4312.5,-0.004683256910498912,-0.004682841593791061,7.818164262831006e-8,4.681480080259939e-30,8.07332422280432e-27,-13705.317158406211
0.004375,4375.0,-0.004943579557913236,-0.0049431528835287295,8.52857644834104e-8,5.643388403858177e-30,2.3981009443889214e-27,-13705.056847116472
0.0044375,4437.5,-0.00521245112055099,-0.005212013242554427,9.284115094832062e-8,6.78086936342152e-30,-4.246411289785485e-27,-13704.787986757447
0.0045,4500.0,-0.005489892562195932,-0.0054894436488798415,1.0086145425584798e-7,8.154760630852e-30,-8.669049791714269e-28,-13704.51055635112
0.0045625,4562.5,-0.00577591835708395,-0.005775458590074449,1.0935997184354895e-7,9.824625684498497e-30,-2.7903566369062252e-27,-13704.224541409927
0.004625,4625.0,-0.006070536860763198,-0.0060700664340869095,1.1834963585072351e-7,1.1811654455513593e-29,-5.6163645481989915e-27,-13703.929933565913
0.0046875,4687.5,-0.006373750702731628,-0.0063732698218501305,1.278430193626103e-7,1.412232245329891e-29,-2.8856932506413044e-27,-13703.62673017815
0.00475,4750.0,-0.006685557198147928,-0.006685066078965456,1.3785234232302028e-7,1.6776366469252763e-29,-2.679908406455506e-28,-13703.314933921036
0.0048125,4812.5,-0.007005948775836041,-0.007005447643686771,1.4838948530980837e-7,1.981083455154811e-29,5.18014911951506e-27,-13702.994552356313
