t_s,t_us,x1_um,x2_um,Vout_mV,ER_J,energy_residual_J,tip_overlap_nm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13710.0
6.25e-5,62.5,-3.6172417766220215e-12,-3.5812226571180878e-12,3.1202761124501386e-24,-2.6885619500154403e-46,-9.046980722344133e-32,-13709.99999999642
0.000125,125.0,-1.1545993310876827e-10,-1.1487418969986452e-10,1.84301232609271e-21,6.275812549672912e-44,3.2084008387381404e-27,-13709.999999885125
0.0001875,187.5,-8.743331303906602e-10,-8.713722090596082e-10,7.429145702067219e-20,2.8123006920292474e-42,-5.795088076857011e-28,-13709.99999912863
0.00025,250.0,-3.673148268564425e-9,-3.663833193434226e-9,1.0102063170624016e-18,3.1954016072307153e-41,-2.520847339458948e-27,-13709.999996336168
0.0003125,312.5,-1.1172051131938317e-8,-1.1149441450144027e-8,7.596534371407729e-18,1.6736622500510066e-40,1.4784941245548005e-27,-13709.999988850559
0.000375,375.0,-2.7698721991754e-8,-2.7652146200222576e-8,3.931457322857817e-17,4.727402350030484e-40,-8.832889133590659e-29,-13709.999972347854
0.0004375,437.5,-5.963353812553142e-8,-5.954786675645397e-8,1.572846643576803e-16,6.628070471273169e-40,1.7309174510659625e-27,-13709.999940452135
0.0005,500.0,-1.157774070040157e-7,-1.1563237233826322e-7,5.21251085360659e-16,6.080698557567719e-40,-1.2009698102363871e-27,-13709.999884367628
0.0005625,562.5,-2.0770020822665728e-7,-2.0746977427585843e-7,1.4962517436285455e-15,5.4608917627934086e-39,-3.1244187610909047e-27,-13709.999792530225
0.000625,625.0,-3.500679223244618e-7,-3.49719708365104e-7,3.834417422575596e-15,3.235681200602318e-38,-3.1534603416712926e-27,-13709.999650280291
0.0006875,687.5,-5.60946674342714e-7,-5.604414349809547e-7,8.964383675251698e-15,1.0340899901479675e-37,1.9987194998720631e-28,-13709.999439558565
0.00075,750.0,-8.62082080289137e-7,-8.613732445778284e-7,1.942623572871532e-14,2.2853852343204277e-37,1.6970382862500644e-27,-13709.999138626757
0.0008125,812.5,-1.2791524490115893e-6,-1.2781857208106349e-6,3.9496090309142294e-14,3.7237356625846355e-37,-7.555262268919096e-28,-13709.99872181428
0.000875,875.0,-1.841994566289443e-6,-1.84070758765515e-6,7.604921801938397e-14,4.30033852121219e-37,2.0783192556406107e-27,-13709.998159292414
0.0009375,937.5,-2.5848009660226896e-6,-2.5831230450131717e-6,1.3971455124906468e-13,2.8704290931267674e-37,5.416508448585693e-27,-13709.997416876957
0.001,1000.0,-3.54628777618192e-6,-3.544139680064872e-6,2.4637606047240084e-13,1.304349009467171e-37,-2.9922731018195066e-27,-13709.996455860322
0.0010625,1062.5,-4.769832413328641e-6,-4.767126227772033e-6,4.1908314691529877e-13,8.139633236918643e-37,3.5568922755295556e-27,-13709.995232873773
0.001125,1125.0,-6.30358058681792e-6,-6.3002196412189875e-6,6.904094439679483e-13,3.244864056772768e-36,-1.3543058172011408e-27,-13709.99369978036
0.0011875,1187.5,-8.200522263934098e-6,-8.19640112275632e-6,1.1053395410141106e-12,7.42315265447523e-36,8.882355505380191e-27,-13709.991803598878
0.00125,1250.0,-1.0518536435006663e-5,-1.0513540954430963e-5,1.7247114395557493e-12,1.2283672874980293e-35,6.297322602607487e-28,-13709.989486459048
0.0013125,1312.5,-1.3320404705281246e-5,-1.3314412154209509e-5,2.629268183423437e-12,1.5515287316670346e-35,8.383124833097163e-28,-13709.986685587846
0.001375,1375.0,-1.667379392531848e-5,-1.6666673169365817e-5,3.924352370163729e-12,1.4265533951132017e-35,2.9872274705441167e-27,-13709.983333326833
0.0014375,1437.5,-2.065120825313933e-5,-2.0642819999892318e-5,5.745269380724391e-12,7.689065963061028e-36,3.244104632152403e-27,-13709.97935718
0.0015,1500.0,-2.5329911218210754e-5,-2.5320108321683307e-5,8.26333374234666e-12,2.7741811780286702e-36,4.091872003239914e-27,-13709.974679891679
