Frequency (Hz),RMS Voltage (V),Max Displacement (um),Max Velocity (m/s),Max Electrode Displacement (um)
5.0,1.8551471168545888e-6,5.962994227065827,0.00019576147060213465,5.962938315984739
8.96551724137931,2.994933882610448e-6,5.958831535077471,0.0003505057577812909,5.9587758124312815
12.931034482758621,4.322645197080342e-6,5.952290123224478,0.0005043907402668265,5.9522341267837255
16.896551724137932,5.6460736051449925e-6,5.943347440131847,0.0006570727179687039,5.943292063131318
20.862068965517242,6.961214635656188e-6,5.9319739435520065,0.0008082406451869228,5.931918025094675
24.82758620689655,8.262512424555011e-6,5.918123240706832,0.0009576183448431523,5.918067498691253
28.79310344827586,9.544064221566188e-6,5.901736873237644,0.0011049638882803922,5.901681267234048
32.758620689655174,1.0799626978383122e-5,5.882742852636358,0.0012500669766754196,5.882687396894321
36.724137931034484,1.2067115608129852e-5,5.8610619722179855,0.001392745998594331,5.861006344506202
40.689655172413794,1.4129929816506948e-5,5.836617390371139,0.0015328441951903795,5.836561864266569
44.6551724137931,1.4464316388300891e-5,5.8093435220033465,0.0016702256813733469,5.809288441885409
48.62068965517241,1.6318410223325868e-5,5.779194946376742,0.0018047709912670754,5.779139633933975
52.58620689655172,1.6501213665000342e-5,5.746147543127573,0.001936371983445551,5.74609233180293
56.55172413793103,1.749620715635674e-5,5.710203192859665,0.0020649280464174616,5.710147832130526
60.51724137931034,1.8836125559456513e-5,5.671388349361388,0.0021903415329581487,5.671333409591682
64.48275862068965,1.9305118500040698e-5,5.629750348897284,0.0023125130531580717,5.6296955044022035
68.44827586206897,3.178039769884179e-5,5.585355314503232,0.0024313526236521463,5.585300893728089
72.41379310344827,2.0872157209628077e-5,5.538289484463492,0.002546740682339936,5.538235055033347
76.37931034482759,2.1662674824425232e-5,5.488646042326855,0.0026585962404045167,5.488591785950072
80.34482758620689,2.2187914239927276e-5,5.436533020692068,0.002766814393236289,5.436479054683605
84.3103448275862,2.275177660559993e-5,5.382066443181308,0.002871300063661721,5.382012372064204
88.27586206896552,2.329336182283346e-5,5.325369400991241,0.0029719635715570202,5.325315530520873
92.24137931034483,2.3688217188233382e-5,5.2665707086135125,0.003068723453939045,5.2665174635271175
96.20689655172414,2.4113291618975524e-5,5.205803590436973,0.0031615068490000353,5.2057503597200325
100.17241379310344,2.4381917704294378e-5,5.143364796566478,0.00325025298814625,5.143312304846867
104.13793103448276,2.4640947314015857e-5,5.078920469728162,0.003334913699427231,5.078868257931394
108.10344827586206,2.675041269671136e-5,5.01319771663326,0.0034154529543041962,5.013145525863739
112.06896551724138,2.502269745465877e-5,4.945926381129547,0.003491849626178778,4.945875162915786
116.03448275862068,2.5089403363797448e-5,4.877367262429951,0.0035640966902259394,4.8773146704991905
120.0,2.5136549516753188e-5,4.808165673950442,0.003632201450085135,4.808113601857429
