t_s,t_us,x1_um,x2_um,Vout_mV,ER_J,energy_residual_J,tip_overlap_nm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13710.0
6.25e-5,62.5,-5.4258627021766034e-12,-5.371834101695043e-12,7.0224907470737e-24,-6.058337807729886e-46,-2.02584162472824e-31,-13709.999999994629
0.000125,125.0,-1.7318989974226442e-10,-1.7231128459869667e-10,4.1467402804143925e-21,1.4119418880826101e-43,-5.121002907863499e-29,-13709.999999827689
0.0001875,187.5,-1.3114996957062043e-9,-1.3070583136331495e-9,1.6715554371498475e-19,6.327672040347253e-42,-1.3037316167824157e-27,-13709.999998692943
0.00025,250.0,-5.509722403020943e-9,-5.495749790271583e-9,2.2729643508597863e-18,7.189610178536593e-41,-1.691030571340991e-29,-13709.999994504251
0.0003125,312.5,-1.6758076698123865e-8,-1.672416217541508e-8,1.709220206356278e-17,3.765750926804582e-40,9.039859508624643e-28,-13709.999983275839
0.000375,375.0,-4.154808298791918e-8,-4.1478219300593546e-8,8.84577843459153e-17,1.0636662348973226e-39,2.225472933553234e-27,-13709.999958521781
0.0004375,437.5,-8.945030718868261e-8,-8.93218001350167e-8,3.538904835847556e-16,1.4913266805724863e-39,2.2794428171782005e-27,-13709.999910678202
0.0005,500.0,-1.736661105064957e-7,-1.734485585078492e-7,1.1728149499648593e-15,1.3681685986898412e-39,1.3368870828785832e-27,-13709.999826551442
0.0005625,562.5,-3.1155031234052824e-7,-3.1120466141430314e-7,3.3665664306085e-15,1.22870192962109e-38,2.6646677260284533e-27,-13709.999688795338
0.000625,625.0,-5.251018834873267e-7,-5.24579562548235e-7,8.627439188661534e-15,7.280296422779282e-38,-1.4365974497992746e-27,-13709.999475420438
0.0006875,687.5,-8.414200115148604e-7,-8.406621524721274e-7,2.0169863221651607e-14,2.326704640761424e-37,3.6893029659548726e-27,-13709.999159337847
0.00075,750.0,-1.2931231204346536e-6,-1.2920598668675233e-6,4.370903036722696e-14,5.142119606355896e-37,4.638345910718582e-27,-13709.998707940134
0.0008125,812.5,-1.918728673518498e-6,-1.9172785812169713e-6,8.886620321628969e-14,8.378412573029539e-37,-7.09224709110691e-29,-13709.998082721419
0.000875,875.0,-2.762991849435418e-6,-2.7610613814838245e-6,1.7111073991870856e-13,9.675780059870457e-37,-1.5995375287443616e-28,-13709.997238938618
0.0009375,937.5,-3.87720144903537e-6,-3.874684567520986e-6,3.1435773981759003e-13,6.458529431341992e-37,8.825968501676123e-28,-13709.996125315432
0.001,1000.0,-5.319431664274233e-6,-5.31620952009852e-6,5.543461363474786e-13,2.9349972467911977e-37,5.385108111681129e-27,-13709.99468379048
0.0010625,1062.5,-7.154748619994302e-6,-7.150689341659244e-6,9.429370804896344e-13,1.8314840812474144e-36,3.1631014832046224e-27,-13709.992849310658
0.001125,1125.0,-9.455370880228208e-6,-9.450329461829713e-6,1.5534212488063285e-12,7.301138552362296e-36,5.8608591580279225e-27,-13709.99054967054
0.0011875,1187.5,-1.2300783395902459e-5,-1.2294601684135586e-5,2.4870139672634353e-12,1.6702620918873322e-35,-1.7851194876786968e-27,-13709.987705398316
0.00125,1250.0,-1.577780465251128e-5,-1.577031143164746e-5,3.880600739464909e-12,2.763962065276648e-35,3.8922820469146725e-27,-13709.984229688569
0.0013125,1312.5,-1.9980607057923093e-5,-1.997161823131521e-5,5.91585341136721e-12,3.49127153868204e-35,5.9770368509531195e-27,-13709.98002838177
0.001375,1375.0,-2.501069088797874e-5,-2.500000975404946e-5,8.829792830850982e-12,3.2105219215514917e-35,3.5276271133464274e-27,-13709.974999990247
0.0014375,1437.5,-3.097681237970951e-5,-3.096422999983887e-5,1.2926856110758649e-11,1.7317866896628332e-35,3.2752570741667224e-27,-13709.96903577
0.0015,1500.0,-3.799486682731563e-5,-3.79801624825243e-5,1.8592500921838563e-11,6.27974345984085e-36,3.2351596198217837e-28,-13709.962019837518
0.0015625,1562.5,-4.6187727793557174e-5,-4.6170669526388676e-5,2.6308449707249502e-11,3.4117736939841266e-35,4.8911791010396496e-27,-13709.953829330474
0.001625,1625.0,-5.568504379474421e-5,-5.566538903222278e-5,3.6669205309959543e-11,1.1704960966517656e-34,1.073190794223105e-27,-13709.944334610967
0.0016875,1687.5,-6.662299405791843e-5,-6.660049031127858e-5,5.0400307954830043e-11,2.340333354193895e-34,5.097437758974479e-27,-13709.93339950969
0.00175,1750.0,-7.914400516758855e-5,-7.911839080367859e-5,6.837777701356063e-11,3.4258043380399923e-34,3.2722645203026646e-28,-13709.920881609196
0.0018125,1812.5,-9.339643063397965e-5,-9.336743571313193e-5,9.164882047253344e-11,3.868742514631631e-34,2.040370995495382e-27,-13709.906632564289
0.001875,1875.0,-0.00010953419560869143,-0.00010950154278345141,1.2145360264367763e-10,3.2175614371443975e-34,8.049626819424398e-27,-13709.890498457216
0.0019375,1937.5,-0.000127716409154302,-0.00012767981462311425,1.5924786842791677e-10,1.610573140524698e-34,2.3390090337091303e-27,-13709.872320185379
0.002,2000.0,-0.0001481069466382592,-0.00014806612114794807,2.0672619002196442e-10,6.089515944061319e-35,1.754523682464908e-27,-13709.851933878852
0.0020625,2062.5,-0.00017087400496832637,-0.00017082865485898714,2.658459459410809e-10,2.7086682383931235e-34,5.470683963217291e-28,-13709.829171345144
0.002125,2125.0,-0.0001961896335132256,-0.00019613946179888587,3.388503752805396e-10,8.296597981282192e-34,6.837030911791401e-27,-13709.803860538203
0.0021875,2187.5,-0.0002242292436679665,-0.00022417395114658178,4.2829256562213725e-10,1.5329885082374797e-33,6.042201197588665e-27,-13709.775826048855
0.00225,2250.0,-0.00025517110010694454,-0.00025511038649266943,5.3705814967501e-10,2.105208500839542e-33,5.838879494421851e-27,-13709.744889613508
0.0023125,2312.5,-0.0002891957968465588,-0.00028912936191754487,6.68387266658666e-10,2.2695842582176642e-33,5.994364435045568e-27,-13709.710870638082
0.002375,2375.0,-0.00032648572128870644,-0.00032641326604355666,8.258952596067066e-10,1.876114292886769e-33,-4.918898323488198e-28,-13709.673586733958
0.0024375,2437.5,-0.0003672245094504124,-0.00036714573726647084,1.0135917601790097e-9,1.104740146699511e-33,2.7204032261333108e-27,-13709.632854262734
0.0025,2500.0,-0.0004115964955988361,-0.0004115111133855451,1.2358978200570493e-9,7.637322831731575e-34,5.7776537541740744e-27,-13709.588488886615
0.0025625,2562.5,-0.00045978615950590914,-0.00045969387884657614,1.4976616533984323e-9,1.9037313583087576e-33,6.05443041037349e-27,-13709.540306121155
0.002625,2625.0,-0.0005119775745098116,-0.0005118781127851805,1.8041692853138344e-9,4.495816597089145e-33,1.4449183722359539e-27,-13709.488121887216
0.0026875,2687.5,-0.0005683538595340802,-0.0005682469410216908,2.161155298526322e-9,7.595101184252387e-33,8.955727184312355e-27,-13709.43175305898
0.00275,2750.0,-0.0006290966381449635,-0.0006289819950878709,2.5748086227763823e-9,1.0179800133451615e-32,-2.662317901234321e-27,-13709.371018004913
0.0028125,2812.5,-0.0006943855076565607,-0.0006942628812956673,3.0517754479424376e-9,1.1427092369633511e-32,3.428933761892801e-27,-13709.305737118706
0.002875,2875.0,-0.0007643975211939479,-0.0007642666627583707,3.5991586163226994e-9,1.1120148740696655e-32,5.593385050252168e-27,-13709.235733337242
0.0029375,2937.5,-0.0008393066855135745,-0.0008391673571637793,4.224513367845958e-9,1.0209657186146839e-32,4.506422521188953e-27,-13709.160832642836
0.003,3000.0,-0.0009192834772533909,-0.0009191354529721837,4.93583935996035e-9,1.1553019007662867e-32,2.4137773882090016e-27,-13709.080864547028
0.0030625,3062.5,-0.0010044943801444687,-0.0010043374465712827,5.741570483759445e-9,1.8379545284694976e-32,1.2502394752968374e-27,-13708.99566255343
0.003125,3125.0,-0.0010951014455582693,-0.0010949354027624454,6.650556476944634e-9,3.036086574295099e-32,-9.53224388906885e-28,-13708.905064597238
0.0031875,3187.5,-0.0011912618786040288,-0.001191086540793729,7.672046262047837e-9,4.4765272877808594e-32,3.271095328858512e-27,-13708.808913459208
0.00325,3250.0,-0.0012931276518038683,-0.0012929428479668765,8.815664489895888e-9,5.912759272522779e-32,2.958037342328311e-27,-13708.707057152034
0.0033125,3312.5,-0.001400845148192827,-0.001400650722666496,1.009138563998726e-8,7.196257866798123e-32,-1.1446307216103744e-27,-13708.599349277334
0.003375,3375.0,-0.0015145548354911565,-0.0015143506484590326,1.1509505072964364e-8,8.369192278479304e-32,4.496029047651073e-27,-13708.485649351542
0.0034375,3437.5,-0.001634390972793289,-0.0016341769007064558,1.3080607318582335e-8,9.780310802630637e-32,3.3200103864755505e-27,-13708.365823099295
0.0035,3500.0,-0.001760481351008118,-0.001760257286929716,1.481553195111631e-8,1.222554054563481e-31,-4.091933219318163e-27,-13708.23974271307
