position_parameter_m,velocity_parameter_m_s,x1_m,x2_m,v1_m_s,v2_m_s,Q1_N,Q2_N,dissipation_W
-1.3810000000000002e-5,-0.006750469165661135,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.006750469165661135,-0.006750469165661135,1.4402728632566418e-5,8.173734423476886e-5,6.489905974753615e-7
-1.3810000000000002e-5,-0.0065254535268057644,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0065254535268057644,-0.0065254535268057644,1.3922637678147538e-5,7.90127660936099e-5,6.064456583075323e-7
-1.3810000000000002e-5,-0.006300437887950393,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.006300437887950393,-0.006300437887950393,1.3442546723728657e-5,7.628818795245092e-5,5.65342920467426e-7
-1.3810000000000002e-5,-0.006075422249095022,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.006075422249095022,-0.006075422249095022,1.2962455769309777e-5,7.356360981129197e-5,5.256823839550428e-7
-1.3810000000000002e-5,-0.00585040661023965,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.00585040661023965,-0.00585040661023965,1.2482364814890895e-5,7.0839031670133e-5,4.874640487703825e-7
-1.3810000000000002e-5,-0.0056253909713842795,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0056253909713842795,-0.0056253909713842795,1.2002273860472016e-5,6.811445352897405e-5,4.506879149134455e-7
-1.3810000000000002e-5,-0.005400375332528908,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.005400375332528908,-0.005400375332528908,1.1522182906053133e-5,6.538987538781509e-5,4.153539823842313e-7
-1.3810000000000002e-5,-0.005175359693673537,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.005175359693673537,-0.005175359693673537,1.1042091951634253e-5,6.266529724665612e-5,3.8146225118274025e-7
-1.3810000000000002e-5,-0.004950344054818166,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.004950344054818166,-0.004950344054818166,1.0562000997215373e-5,5.9940719105497166e-5,3.490127213089722e-7
-1.3810000000000002e-5,-0.004725328415962795,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.004725328415962795,-0.004725328415962795,1.0081910042796492e-5,5.72161409643382e-5,3.180053927629271e-7
-1.3810000000000002e-5,-0.004500312777107424,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.004500312777107424,-0.004500312777107424,9.601819088377612e-6,5.449156282317924e-5,2.8844026554460514e-7
-1.3810000000000002e-5,-0.004275297138252052,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.004275297138252052,-0.004275297138252052,9.121728133958731e-6,5.1766984682020274e-5,2.603173396540061e-7
-1.3810000000000002e-5,-0.004050281499396681,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.004050281499396681,-0.004050281499396681,8.641637179539851e-6,4.9042406540861314e-5,2.3363661509113013e-7
-1.3810000000000002e-5,-0.00382526586054131,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.00382526586054131,-0.00382526586054131,8.16154622512097e-6,4.6317828399702355e-5,2.083980918559772e-7
-1.3810000000000002e-5,-0.003600250221685939,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.003600250221685939,-0.003600250221685939,7.68145527070209e-6,4.359325025854339e-5,1.8460176994854726e-7
-1.3810000000000002e-5,-0.0033752345828305676,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0033752345828305676,-0.0033752345828305676,7.201364316283209e-6,4.086867211738443e-5,1.6224764936884037e-7
-1.3810000000000002e-5,-0.0031502189439751964,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0031502189439751964,-0.0031502189439751964,6.721273361864328e-6,3.814409397622546e-5,1.413357301168565e-7
-1.3810000000000002e-5,-0.002925203305119825,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.002925203305119825,-0.002925203305119825,6.241182407445448e-6,3.54195158350665e-5,1.2186601219259563e-7
-1.3810000000000002e-5,-0.002700187666264454,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.002700187666264454,-0.002700187666264454,5.761091453026566e-6,3.269493769390754e-5,1.0383849559605783e-7
-1.3810000000000002e-5,-0.002475172027409083,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.002475172027409083,-0.002475172027409083,5.281000498607687e-6,2.9970359552748583e-5,8.725318032724305e-8
-1.3810000000000002e-5,-0.002250156388553712,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.002250156388553712,-0.002250156388553712,4.800909544188806e-6,2.724578141158962e-5,7.211006638615129e-8
-1.3810000000000002e-5,-0.0020251407496983407,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0020251407496983407,-0.0020251407496983407,4.320818589769926e-6,2.4521203270430657e-5,5.840915377278253e-8
-1.3810000000000002e-5,-0.0018001251108429694,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0018001251108429694,-0.0018001251108429694,3.840727635351045e-6,2.1796625129271694e-5,4.6150442487136815e-8
-1.3810000000000002e-5,-0.0015751094719875982,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0015751094719875982,-0.0015751094719875982,3.360636680932164e-6,1.907204698811273e-5,3.5333932529214124e-8
-1.3810000000000002e-5,-0.001350093833132227,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.001350093833132227,-0.001350093833132227,2.880545726513283e-6,1.634746884695377e-5,2.5959623899014457e-8
-1.3810000000000002e-5,-0.001125078194276856,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.001125078194276856,-0.001125078194276856,2.400454772094403e-6,1.362289070579481e-5,1.802751659653782e-8
-1.3810000000000002e-5,-0.0009000625554214847,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0009000625554214847,-0.0009000625554214847,1.9203638176755225e-6,1.0898312564635847e-5,1.1537610621784204e-8
-1.3810000000000002e-5,-0.0006750469165661135,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0006750469165661135,-0.0006750469165661135,1.4402728632566416e-6,8.173734423476886e-6,6.489905974753614e-9
-1.3810000000000002e-5,-0.00045003127771074236,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.00045003127771074236,-0.00045003127771074236,9.601819088377613e-7,5.4491562823179235e-6,2.884402655446051e-9
-1.3810000000000002e-5,-0.00022501563885537118,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.00022501563885537118,-0.00022501563885537118,4.800909544188806e-7,2.7245781411589618e-6,7.211006638615127e-10
-1.3810000000000002e-5,0.0,-1.3810000000000002e-5,-1.3810000000000002e-5,0.0,0.0,-0.0,-0.0,0.0
-1.3810000000000002e-5,0.00022501563885537118,-1.3810000000000002e-5,-1.3810000000000002e-5,0.00022501563885537118,0.00022501563885537118,-4.800909544188806e-7,-2.7245781411589618e-6,7.211006638615127e-10
-1.3810000000000002e-5,0.00045003127771074236,-1.3810000000000002e-5,-1.3810000000000002e-5,0.00045003127771074236,0.00045003127771074236,-9.601819088377613e-7,-5.4491562823179235e-6,2.884402655446051e-9
-1.3810000000000002e-5,0.0006750469165661135,-1.3810000000000002e-5,-1.3810000000000002e-5,0.0006750469165661135,0.0006750469165661135,-1.4402728632566416e-6,-8.173734423476886e-6,6.489905974753614e-9
-1.3810000000000002e-5,0.0009000625554214847,-1.3810000000000002e-5,-1.3810000000000002e-5,0.0009000625554214847,0.0009000625554214847,-1.9203638176755225e-6,-1.0898312564635847e-5,1.1537610621784204e-8
-1.3810000000000002e-5,0.001125078194276856,-1.3810000000000002e-5,-1.3810000000000002e-5,0.001125078194276856,0.001125078194276856,-2.400454772094403e-6,-1.362289070579481e-5,1.802751659653782e-8
