position_parameter_m,velocity_parameter_m_s,x1_m,x2_m,v1_m_s,v2_m_s,Q1_N,Q2_N,dissipation_W
-4.06628469072447e-8,-0.006750469165661135,0.0,-4.06628469072447e-8,-0.0,-0.006750469165661135,6.446998549756013e-7,9.54241613391472e-7,6.441578587789865e-9
-4.06628469072447e-8,-0.0065254535268057644,0.0,-4.06628469072447e-8,-0.0,-0.0065254535268057644,6.232098598097479e-7,9.224335596117562e-7,6.0192973248125295e-9
-4.06628469072447e-8,-0.006300437887950393,0.0,-4.06628469072447e-8,-0.0,-0.006300437887950393,6.017198646438946e-7,8.906255058320404e-7,5.611330680919171e-9
-4.06628469072447e-8,-0.006075422249095022,0.0,-4.06628469072447e-8,-0.0,-0.006075422249095022,5.802298694780413e-7,8.588174520523248e-7,5.217678656109791e-9
-4.06628469072447e-8,-0.00585040661023965,0.0,-4.06628469072447e-8,-0.0,-0.00585040661023965,5.587398743121878e-7,8.27009398272609e-7,4.838341250384387e-9
-4.06628469072447e-8,-0.0056253909713842795,0.0,-4.06628469072447e-8,-0.0,-0.0056253909713842795,5.372498791463345e-7,7.952013444928933e-7,4.473318463742962e-9
-4.06628469072447e-8,-0.005400375332528908,0.0,-4.06628469072447e-8,-0.0,-0.005400375332528908,5.15759883980481e-7,7.633932907131775e-7,4.1226102961855135e-9
-4.06628469072447e-8,-0.005175359693673537,0.0,-4.06628469072447e-8,-0.0,-0.005175359693673537,4.942698888146277e-7,7.315852369334618e-7,3.786216747712043e-9
-4.06628469072447e-8,-0.004950344054818166,0.0,-4.06628469072447e-8,-0.0,-0.004950344054818166,4.7277989364877436e-7,6.997771831537461e-7,3.4641378183225503e-9
-4.06628469072447e-8,-0.004725328415962795,0.0,-4.06628469072447e-8,-0.0,-0.004725328415962795,4.512898984829209e-7,6.679691293740303e-7,3.1563735080170335e-9
-4.06628469072447e-8,-0.004500312777107424,0.0,-4.06628469072447e-8,-0.0,-0.004500312777107424,4.297999033170676e-7,6.361610755943146e-7,2.862923816795496e-9
