t_s,t_ms,deltaE_nJ,Wbase_nJ,Wbias_nJ,Dfilm_nJ,Dwall_nJ,ER_pJ,residual_aJ
0.05335,53.35,0.007397270493345525,0.008709711854586404,6.187701770273625e-5,0.0013743181354323381,2.8361358529002054e-21,2.435022199593863e-7,-9.055769782251677e-6
0.0534,53.400000000000006,0.007629654247780535,0.008950258279579628,6.398308916690475e-5,0.0013845868733147685,2.858757795960613e-21,2.4764216591900066e-7,-9.06263602757072e-6
0.0539,53.900000000000006,0.010169869912952927,0.011571733382536946,8.715534393959612e-5,0.0014890185156413707,3.0940255014143238e-21,2.97873150893161e-7,-9.093736079898154e-6
0.05395,53.949999999999996,0.010445390706026682,0.011855330056959008,8.96848637069417e-5,0.001499623910784922,3.118481028252673e-21,3.0384517501073824e-7,-9.171486210716735e-6
0.054,54.0,0.01072478574947617,0.01214278942327445,9.225312429415327e-5,0.0015102564880818184,3.143109664072825e-21,3.100015215397034e-7,-9.093130234722943e-6
0.05405,54.050000000000004,0.011008043971862802,0.012434099787903686,9.486014432842357e-5,0.0015209156440151288,3.167912434484978e-21,3.1634509020865865e-7,-9.086062041012163e-6
0.0543,54.300000000000004,0.012481843186897235,0.013947955049789846,0.00010847691212767699,0.0015745884240404339,3.294573171227917e-21,3.5097076382114327e-7,-9.089495163671685e-6
0.05435,54.35,0.01278800628296126,0.014262083995006114,0.00011131657784274117,0.0015853939313814796,3.320441434762073e-21,3.5849700376351144e-7,-9.111709486762709e-6
0.0544,54.4,0.013097934180726202,0.01457996113381444,0.00011419498117600475,0.0015962215680251862,3.3464905623223847e-21,3.662299772247512e-7,-9.077782156950964e-6
0.05445,54.449999999999996,0.013411609829996562,0.01490156877300634,0.00011711209661465372,0.001607070665443065,3.3727214371633833e-21,3.74172353892141e-7,-9.012754774811784e-6
0.0545,54.5,0.013729015429176135,0.015226888465281953,0.0001200678928761197,0.001617940546646146,3.399134919207291e-21,3.823267510503273e-7,-9.040421704479696e-6
0.0546,54.6,0.014374941511284092,0.01588858644701854,0.0001260953735973845,0.0016397399100408724,3.4525130213476844e-21,3.9928192262881555e-7,-9.037998323778857e-6
0.05465,54.65,0.014703422630861052,0.01622492406836597,0.00012916696617055565,0.0016506679955786325,3.4794792337441174e-21,4.0808774214370487e-7,-9.10161206717588e-6
0.0547,54.699999999999996,0.01503555497355203,0.016564892406490662,0.00013227705568422606,0.0016616140714981406,3.506631235346709e-21,4.17115668363446e-7,-9.04849964014916e-6
0.05475,54.75,0.015371316977376117,0.01690846924033709,0.00013542558119437951,0.001672577417778074,3.533969750446344e-21,4.2636811696517156e-7,-9.159773203996014e-6
0.0548,54.800000000000004,0.015710686328714057,0.017255631594525794,0.00013861247565175283,0.0016835573056069916,3.561495472023913e-21,4.358474392559432e-7,-9.055971730643414e-6
0.0549,54.9,0.016400154064205908,0.017960617193880472,0.00014510107236163921,0.0017055637465312886,3.6171111419111415e-21,4.554958953874574e-7,-9.018207381388674e-6
0.05495,54.949999999999996,0.016750204068012406,0.018318390721894236,0.00014840260948650828,0.0017165887976898903,3.645202307016034e-21,4.656694809479472e-7,-8.965700799537162e-6
0.055,55.0,0.017103764660397574,0.01867965033772544,0.00015174218518627572,0.0017276273864262808,3.6734831091726486e-21,4.7607883948571954e-7,-9.022650246006878e-6
0.05525,55.25,0.018923288206234554,0.020537277775424065,0.00016900697042089913,0.0017829960078685491,3.81774825727696e-21,5.317328894452142e-7,-8.97054756093884e-6
0.0553,55.300000000000004,0.019297338967889238,0.02091886629186162,0.00017257248281821823,0.00179409926318324,3.847176232421513e-21,5.435983491503323e-7,-9.011139187677892e-6
0.05535,55.35,0.01967470226823698,0.021303738068010232,0.0001761752073065034,0.0018052104513580345,3.876796549284013e-21,5.557127737305797e-7,-8.948333237847816e-6
0.0554,55.4,0.020055346856073696,0.02169186116017327,0.00017981499907485316,0.0018163287350876614,3.9066094076492214e-21,5.680777568734648e-7,-9.007706065018371e-6
0.05545,55.45,0.02043924074686212,0.02208320288900575,0.0001834917064550008,0.0018274532678947296,3.936614955832477e-21,5.806948295526314e-7,-9.072329550374076e-6
0.0555,55.5,0.02082635122530046,0.022477729842086208,0.00018720517085750807,0.0018385831940688337,3.96681328871139e-21,5.93565429061171e-7,-8.995185264730702e-6
0.0557,55.7,0.022406279283248214,0.02408699614514755,0.000202423181351196,0.0018831393956323839,4.089534399454382e-21,6.476091289314753e-7,-9.018207381388674e-6
0.05575,55.75,0.022808956585424253,0.024496922571985002,0.00020631780565050643,0.0018942831304361975,4.120696088669547e-21,6.61766121988383e-7,-8.936620231127095e-6
0.0558,55.800000000000004,0.02321463899496294,0.02490981851527224,0.00021024808678462306,0.0019054269309014124,4.152049912492134e-21,6.761835210443074e-7,-8.987511225844713e-6
0.05595,55.95,0.024449335858720802,0.026165935312272695,0.00022225074727336348,0.001938849479810332,4.247260565895793e-21,7.210059801266507e-7,-8.943486476446138e-6
0.056,56.0,0.024866654176883992,0.026590317669717974,0.00022632149461841548,0.0019499842509710945,4.279378955675637e-21,7.364723235514837e-7,-8.979837186958723e-6
0.05605,56.050000000000004,0.025286781844105776,0.027017470211971796,0.00023042678082684873,0.0019611143964815645,4.311687140528709e-21,7.522022338781467e-7,-9.070713963240184e-6
0.0561,56.099999999999994,0.02570967762437255,0.027447350983936237,0.000234566359654665,0.001972238951013338,4.3441844338096074e-21,7.68196028352646e-7,-8.987915122628185e-6
0.0563,56.300000000000004,0.027428093283063837,0.0291932933546096,0.00025146240609357683,0.0020166616428176475,4.476048210289541e-21,8.348127730046739e-7,-8.921272153355114e-6
0.05635,56.349999999999994,0.02786418728177973,0.029636162103999157,0.00025576948336472556,0.0020277434534482913,4.509477970363952e-21,8.521270452452976e-7,-8.817470680002513e-6
0.0564,56.4,0.0283027877606134,0.03008149311457374,0.00026010921239186816,0.0020388136966384457,4.543091025980455e-21,8.697048239811511e-7,-8.935408540776675e-6
0.0566,56.599999999999994,0.03008132617845243,0.031886496969771534,0.00027778849963152425,0.0020829583483019075,4.679349438377418e-21,9.426398456032076e-7,-8.881286371791273e-6
0.05665,56.65,0.030531757205340584,0.0323434265580122,0.0002822868063170286,0.002093955197454047,4.7138580794147756e-21,9.615257001678073e-7,-8.894614965645886e-6
0.0567,56.7,0.03098440950052634,0.03280252884589754,0.0002868158349735352,0.002104934199665432,4.748540993665388e-21,9.806703984518681e-7,-8.900673417397984e-6
0.05675,56.75,0.0314392333205619,0.03326375336609809,0.00029137523503458345,0.0021158942804891372,4.7833963352020135e-21,1.0000727244720867e-6,-8.915617598386491e-6
0.0569,56.9,0.032816227309792806,0.03465964647573657,0.0003052320317666642,0.002148650137890291,4.88897691262879e-21,1.0598112434499306e-6,-8.89501886242936e-6
0.05695,56.95,0.03327922759219519,0.0351288430691277,0.0003099092430592415,0.00215952363975376,4.9245014198895086e-21,1.0802291939641494e-6,-8.798487531179276e-6
0.057,57.0,0.033744141586716805,0.035599900479261024,0.0003146149458992588,0.0021703727375379225,4.9601875440811515e-21,1.1008966514350625e-6,-8.897038346346726e-6
0.05715,57.15,0.03514982961501843,0.0370236942350352,0.0003288989427140964,0.0022027623983469605,5.068190125411863e-21,1.1643750354085619e-6,-8.86674608758624e-6
0.0572,57.2,0.035621859381705846,0.037501648700423496,0.00033371450706400166,0.0022135026397539486,5.104496646163386e-21,1.186018771868383e-6,-8.932985160075837e-6
0.05725,57.25,0.036095530498930085,0.03798118806582572,0.0003385564667708634,0.002224212825757233,5.14095116352305e-21,1.2079004286307613e-6,-8.83241486099102e-6
0.0573,57.3,0.03657078682558128,0.03846225548753168,0.00034342437612759613,0.002234891808051825,5.177550596348315e-21,1.2300172509017873e-6,-8.926926708323738e-6
0.05735,57.35,0.03704757168136104,0.03894479358607688,0.00034831778050114343,0.002245538432841769,5.214291740452135e-21,1.252366347704702e-6,-8.87078505542097e-6
0.0574,57.4,0.03752582785439909,0.03942874445415855,0.00035323621630518166,0.0022561515411109916,5.2511712671371425e-21,1.2749446710128747e-6,-8.982260567659561e-6
0.0577,57.7,0.040422993659516425,0.04235881052524294,0.0003832453905359166,0.0023190608412142627,5.475151943495997e-21,1.4150392612812207e-6,-8.914405908036071e-6
0.05775,57.75,0.04090990409984206,0.042850986729164355,0.00038832530468105824,0.002329406494870032,5.512896145080769e-21,1.4391244566830405e-6,-8.861899326184561e-6
0.0578,57.8,0.04139780996460695,0.04334409441652793,0.0003934262143147266,0.002339709202817564,5.5507474295521456e-21,1.4634091495437925e-6,-8.993973574380284e-6
0.0579,57.9,0.04237636095705102,0.044332854646254846,0.0004036888272098198,0.0023601810038453314,5.6267530443078226e-21,1.5125593000821168e-6,-9.014976207120888e-6
0.05795,57.95,0.042866881461425255,0.044828381290646625,0.0004088494107955381,0.0023703477025923095,5.6648979270383864e-21,1.537415510621004e-6,-9.08686983457911e-6
0.058,58.0,0.04335814816087872,0.045324587640540856,0.0004140287504712263,0.002380466667671559,5.70313099577496e-21,1.5624527250665838e-6,-9.07556072464186e-6
0.05805,58.05,0.04385009766456226,0.045821409687257425,0.0004192262630426692,0.002390536698063021,5.7414471767820794e-21,1.587665945251619e-6,-8.87199674577139e-6
0.0581,58.1,0.04434266616581693,0.04631878301480662,0.00042444135594085503,0.0024005565918714267,5.779841255038648e-21,1.6130500152886859e-6,-9.110295848020553e-6
0.0585,58.5,0.048297711173658324,0.05030975883930758,0.00046672077819122473,0.002478766622225465,6.089125394303352e-21,1.8216058087723168e-6,-9.205615488920217e-6
0.05855,58.55,0.04879291520120044,0.050809132429143374,0.0004720658755066583,0.0024882812551691074,6.127962360298625e-21,1.8482712138605438e-6,-9.277509116378441e-6
0.0586,58.6,0.04928807928190124,0.051308392821412106,0.0004774221095376258,0.0024977337739914614,6.166817231456151e-21,1.875047849157954e-6,-9.185016752963087e-6
0.05865,58.65,0.049783135637848606,0.051807471750457766,0.00048278878408724283,0.0025071229947582416,6.2056832260867066e-21,1.9019289735581868e-6,-9.183401165829195e-6
0.0587,58.7,0.050278016186675,0.0523063006599943,0.00048816519357519205,0.002516447737977578,6.244553422607101e-21,1.9289077069647253e-6,-9.209250559971477e-6
0.05875,58.75,0.050772652551196916,0.0528048107131689,0.0004935506230209823,0.0025257068290067105,6.283420759854497e-21,1.955977040164442e-6,-9.215712908507048e-6
0.0589,58.9,0.05225440854968541,0.05429773537375337,0.0005097537412081932,0.002553078527610326,6.3999329471776774e-21,2.0376565828340567e-6,-9.243177889783222e-6
0.05895,58.95,0.052747378850638564,0.054794276382028,0.000515167913991623,0.0025620633803563565,6.438715501275417e-21,2.0650156347449167e-6,-9.065867201838506e-6
0.059,59.0,0.05323975900156896,0.055290150501951255,0.0005205873920184237,0.002570976799963187,6.4774578524349004e-21,2.092428328968291e-6,-9.205615488920217e-6
0.0591,59.1,0.05422246886781663,0.05627961665589397,0.0005314391717564082,0.002588584812441022,6.5547903593828695e-21,2.1473835287109007e-6,-9.197941450034228e-6
0.05915,59.15,0.054712658036168295,0.05677306747059911,0.0005368699045869311,0.0025972771640982977,6.59336440720113e-21,2.174910197804314e-6,-9.254486999720471e-6
0.0592,59.2,0.05520197598074212,0.05726556897954478,0.0005423028049732657,0.0026058936013078696,6.6318660409352536e-21,2.2024588440942967e-6,-9.211673940672316e-6
0.05925,59.25,0.05569035191924031,0.05775705011194772,0.0005477370658165872,0.00261443302849355,6.670286903450364e-21,2.230021289047678e-6,-9.161994636305118e-6
0.0593,59.3,0.05617771488417571,0.05824743963188754,0.0005531718710373997,0.00262289436115076,6.708618521557204e-21,2.257589256276608e-6,-9.217732392424412e-6
0.05935,59.35,0.05666399373291354,0.05873666614894795,0.0005586063956662078,0.00263127652653701,6.746852309927071e-21,2.285154377009072e-6,-9.236311644464178e-6
0.0594,59.4,0.057149117158078425,0.059224658129119964,0.0005640398058787087,0.002639578464202746,6.784979573937061e-21,2.312708193999094e-6,-9.304974097654615e-6
0.05995,59.95,0.06238868892244863,0.06449052062222038,0.0006234866754477077,0.0027253157626481585,7.194765857763673e-21,2.6125617344704024e-6,-9.569930387613007e-6
