travel_um,C_pF,Q1_uN,Q2_uN,D_path
-1.0,6.28956811801025,0.17346886851094315,1.230888225349643,0.004614620410892568
-0.9900000000000001,6.292703954228204,0.1742442266588644,1.2436917618147714,0.00464222229415495
-0.98,6.295870238111925,0.17502732046436237,1.2567337769635616,0.004670132965197972
-0.9700000000000001,6.299067524256164,0.17581829199971227,1.2700208758495732,0.004698358135628343
-0.96,6.302296382523596,0.17661728725059467,1.2835599083550726,0.004726903673168291
-0.95,6.305557398610289,0.1774244562610533,1.2973579806153512,0.004755775607419202
-0.94,6.308851174637649,0.17823995328523007,1.3114224670881247,0.0047849801358957715
-0.9299999999999999,6.312178329772259,0.17906393694625586,1.325761023310758,0.004814523630346059
-0.9199999999999999,6.315539500875238,0.1798965704027088,1.3403815993915353,0.00484441264337397
-0.9099999999999999,6.318935343182839,0.18073802152307544,1.35529245428466,0.004874653915381874
-0.8999999999999999,6.322366531020053,0.18158846306868195,1.3705021709026057,0.004905254381852253
-0.8899999999999999,6.325833758549233,0.18244807288559223,1.3860196721236364,0.0049362211809885325
-0.88,6.3293377405557525,0.18331703410600717,1.4018542377569514,0.0049675616617367545
-0.87,6.332879213272961,0.1841955353597343,1.418015522532909,0.004999283392211292
-0.86,6.336458935248803,0.18508377099633816,1.4345135751912927,0.005031394168549427
-0.85,6.340077688256652,0.18598194131862553,1.4513588587465613,0.0050639020242215175
-0.84,6.343736278253095,0.1868902528281673,1.4685622720155789,0.005096815239825283
-0.83,6.347435536385618,0.18780891848360776,1.486135172500483,0.005130142353395122
-0.82,6.351176320053309,0.18873815797257062,1.5040894007272356,0.005163892171259423
-0.8099999999999999,6.354959514023996,0.1896781979980288,1.5224373061489482,0.0051980737794815515
-0.7999999999999999,6.35878603161145,0.19062927258007137,1.5411917747325934,0.0052326965559229485
-0.7899999999999999,6.362656815916561,0.19159162337407204,1.5603662583580322,0.0052677701829695394
-0.78,6.366572841136727,0.19256550000633965,1.5799748061697183,0.005303304660966207
-0.77,6.370535113947972,0.1935511604284191,1.6000320980340452,0.0053393103224075545
-0.76,6.374544674964731,0.1945488712912957,1.6205534802690282,0.005375797846936952
-0.75,6.378602600282578,0.19555890834086412,1.641555003828401,0.005412778277210295
-0.74,6.38271000310961,0.19658155683612608,1.6630534651389624,0.0054502630356855096
-0.73,6.386868035492704,0.19761711199170406,1.6850664498086936,0.00548826394240399
-0.72,6.391077890145298,0.19866587944638664,1.707612379443732,0.0055267932338356925
-0.71,6.395340802384004,0.19972817575956478,1.7307105618351553,0.005565863582865907
-0.7,6.399658052181864,0.2008043289375774,1.754381244801838,0.005605488120008469
-0.69,6.40403096634683,0.20189467899215177,1.778645674003769,0.005645680455937674
-0.6799999999999999,6.408460920834714,0.20299957853331874,1.8035261550714967,0.005686454705439389
-0.67,6.412949343206717,0.204119393399388,1.8290461204321702,0.005727825512891062
-0.66,6.4174977152424955,0.2052545033267975,1.8552302012514668,0.005769808079390327
-0.65,6.4221075757207515,0.2064053026629053,1.882104304954005,0.005812418191663105
-0.64,6.426780523380389,0.20757220112507024,1.909695698833247,0.005855672252894593
-0.63,6.431518220076493,0.20875562460967528,1.9380331003161306,0.005899587315640114
-0.62,6.436322394146726,0.20995601605509084,1.9671467745083395,0.0059441811169881325
-0.61,6.441194844005195,0.21117383636294915,1.9970686397143673,0.0059894721161649535
-0.6,6.446137441982495,0.21240956538252737,2.0278323817032042,0.006035479534789447
-0.59,6.451152138432437,0.2136637029634933,2.0594735775766577,0.006082223400007303
-0.58,6.4562409661280045,0.21493677008279596,2.0920298301948175,0.00612972459075829
-0.5700000000000001,6.461406044971331,0.2162293100520543,2.1255409142230004,0.006178004887456429
-0.56,6.466649587045006,0.2175418898124455,2.1600489349889584,0.006227087025392948
-0.55,6.471973902034832,0.21887510132481353,2.1955985014801174,0.006276994752205463
-0.54,6.477381403057293,0.220229563063527,2.232236914970688,0.006327752889794709
-0.53,6.482874612928533,0.22160592162351753,2.2700143749506063,0.006379387401112935
-0.52,6.488456170915612,0.22300485345094784,2.3089842042357347,0.006431925462296381
-0.51,6.494128840015242,0.2244270667091017,2.349203095375756,0.00648539554066909
-0.5,6.49989551481026,0.22587330329237354,2.3907313807471806,0.006539827479207564
-0.49,6.50575922995973,0.22734434100269285,2.4336333290297594,0.006595252588126738
-0.48,6.511723169385035,0.22884099590436235,2.4779774711214846,0.006651703744328357
-0.47,6.5177906762215505,0.23036412487515176,2.5238369589585212,0.006709215499545523
-0.45999999999999996,6.523965263613744,0.23191462837360935,2.5712899611806113,0.006767824198123117
-0.44999999999999996,6.530250626441007,0.23349345344495998,2.620420100131139,0.0068275681054952774
-0.44,6.536650654072155,0.23510159699070718,2.6713169353169928,0.006888487548561872
-0.43,6.543169444258854,0.23674010933019707,2.724076499192536,0.006950625069327457
-0.42,6.549811318292217,0.23841009808599672,2.7788018919932282,0.007014025593354084
-0.41,6.556580837562953,0.2401127324290743,2.8356039433508036,0.007078736614797552
-0.39999999999999997,6.563482821683972,0.24184924772451363,2.8946019496003483,0.007144808400050246
-0.39,6.570522368355756,0.24362095062398875,2.9559244970747858,0.007212294212311185
-0.38,6.577704875179546,0.2454292246575621,3.0197103833137104,0.007281250559751594
-0.37,6.585036063652125,0.24727553638473615,3.086109650042038,0.00735173747035453
-0.36,6.59252200560936,0.2491614421732452,3.1552847440602405,0.007423818796990358
-0.35,6.600169152424642,0.2510885956840674,3.2274118249076396,0.0074975625568638625
-0.33999999999999997,6.607984367313957,0.2530587561528235,3.302682241406277,0.007573041310150634
-0.33,6.6159749611528635,0.2550737975714565,3.381304203081217,0.007650332583455604
-0.32,6.624148732273689,0.2571357188902421,3.4635046771278932,0.0077295193447050325
-0.31,6.632514010785787,0.25924665537929203,3.5495315472390914,0.007810690537261187
