t_s,tau_us,x1_um,v1_mm_s,Vout_mV,PR_pW,C_pF
0.35000000000000003,0.0,3.1680222789852768,-10.032056153952315,-0.1396204293325093,0.046413962588081475,5.664707325226933
0.3500041666666667,4.166666666693963,3.126199513693309,-10.042847962642893,-0.13770519127329084,0.045149332627651466,5.664252421893963
0.3500791666666667,79.1666666666857,2.3663242061133705,-10.212686570266765,-0.10346710164228212,0.025489145529177,5.657141687560717
0.35008333333333336,83.33333333332416,2.3237545322692363,-10.220731962351893,-0.1015769649447607,0.024566380493783683,5.656806235588334
0.35008750000000005,87.50000000001812,2.2811516477553884,-10.228627605870491,-0.09968798532162436,0.023661177184486654,5.656477029406151
0.35016250000000004,162.50000000000986,1.5093428570764627,-10.344598532186506,-0.06586176308793618,0.010328028183455792,5.651615400598817
0.3501666666666667,166.66666666664833,1.466229972349834,-10.349559696293765,-0.06399124997293554,0.009749714459758866,5.651404225113042
0.3501708333333334,170.83333333334227,1.4230967469186262,-10.35436199679632,-0.06212154346924023,0.009188300388096914,5.651199231980624
0.35024583333333337,245.83333333333402,0.6439840193840071,-10.413188232409507,-0.028588080034514386,0.0019459007620471432,5.648563799906709
0.35025,249.99999999997246,0.6005921140895228,-10.414898619333094,-0.026730993587056048,0.0017013000432172182,5.64847583081401
0.35025387438755534,253.87438755530843,0.5602379221328916,-10.416339820107593,-0.025004617251431153,0.0014886449616442106,5.6483995408317815
0.35028750000000003,287.4999999999961,0.20984336547432875,-10.422770379166817,-0.010039597745427687,0.00023998457830951597,5.647960175061013
0.3502916666666667,291.66666666669005,0.16641502752826043,-10.42280363154034,-0.008187309853021666,0.00015960010149853723,5.6479335254519665
0.3502938743875554,293.87438755534845,0.14340443378188103,-10.422752627193532,-0.007206018688732887,0.00012363501271992294,5.6479218871174925
0.3503041666666667,304.16666666666094,0.0361341249289659,-10.421886123251898,-0.0026329084868403968,1.65052550001814e-5,5.647890313831401
0.3503083333333334,308.33333333335486,-0.007289114224405146,-10.421240284984796,-0.0007822714363243627,1.4570204764023366e-6,5.6478881512713155
0.3503125,312.49999999999335,-0.05070930737376782,-10.42042399569243,0.0010679970331610269,2.7157563400970364e-6,5.647892107228424
0.3503291666666667,329.16666666665816,-0.2243453885463913,-10.415449160719854,0.008465341316324544,0.00017062381809969374,5.647969091759083
0.3503333333333334,333.33333333335213,-0.2677396689341908,-10.413776785896285,0.010313797099666754,0.00025327240622165313,5.648003622165149
0.3503338743875554,333.87438755538847,-0.273374024802842,-10.41354701399965,0.010553805003290612,0.00026519714297019515,5.64800855438468
0.3504138743875555,413.87438755546845,-1.1042398199874632,-10.34740914068049,0.045982002254200224,0.005034153645964939,5.649870659273053
0.3504166666666667,416.6666666666763,-1.133127847044881,-10.343938360081486,0.04721660126708304,0.005308112940987399,5.649976254523936
0.35042083333333335,420.8333333333147,-1.1762165557034743,-10.338612500343569,0.049058645392002144,0.005730358780233841,5.650138911668023
0.35049583333333334,495.8333333333065,-1.9472440866483018,-10.212577196713463,0.0821604723777734,0.016072245765092537,5.65410724136949
0.35050000000000003,500.00000000000045,-1.9897784628346777,-10.203893809633826,0.08399597525876952,0.01679839014207576,5.6543854382010865
0.35050416666666667,504.1666666666389,-2.032276288736335,-10.195033057628134,0.08583102883688276,0.01754039407428048,5.654669703767679
0.3505791666666667,579.1666666666862,-2.790144407022243,-10.00520779667825,0.11876854742898774,0.0335856377580755,5.660822284095209
0.35058333333333336,583.3333333333246,-2.831807356797702,-9.992978616418803,0.1205919145016739,0.03462478534090244,5.661221508898181
0.35058750000000005,587.5000000000185,-2.8734189832854624,-9.98057264064747,0.12241441247181568,0.03567925804957101,5.661626761098034
0.35066250000000004,662.5000000000103,-3.61281471370365,-9.727166972714409,0.15503689133481177,0.05722961351133865,5.669948148501554
0.3506666666666667,666.6666666666488,-3.6533118435031633,-9.711426353161903,0.1568366487343391,0.05856603425290113,5.670467241559996
0.3506708333333334,670.8333333333427,-3.6937430253118513,-9.695511980646796,0.158634790503267,0.05991665894765575,5.670992281488757
