t_s,t_ms,tau_us,x1_um,x2_um,tip_overlap_nm,bend_nm,v1_mm_s,v2_mm_s,Vout_mV,C_pF,PR_pW,Qe2_uN,Qwall2_uN,Qbend2_uN,Qfilm2_uN,ER_pJ,Wbase_nJ,Wbias_nJ,Dfilm_nJ,Dwall_nJ,Dstruct_nJ,deltaE_nJ,residual_aJ,a_g
0.35000000000000003,350.00000000000006,0.0,3.1680222789852768,3.16959065040772,-10540.40934959228,1.5683714224431244,-10.032056153952315,-10.033277213673188,-0.1396204293325093,5.664707325226933,0.046413962588081475,0.03429317216114129,-4.302869288582459e-18,-2.8352337252302595,2.744578447541405,0.21733668356219,2.005234661981498,0.0001537460933137976,1.8806018899243522,0.0006268531731498408,0.0,0.12394232888574591,0.5919982751531759,2.6685063102033803e-14
0.3500041666666667,350.0041666666667,4.166666666693963,3.126199513693309,3.1277628267533006,-10582.237173246702,1.563313059991872,-10.042847962642893,-10.04405482884834,-0.13770519127329084,5.664252421893963,0.045149332627651466,0.03377471217186754,-4.097047447756924e-18,-2.8260894373332714,2.7372285200517763,0.2173368743128319,2.0052357965192154,0.0001496192276016618,1.8808019178935211,0.0006268531731498408,0.0,0.1237393083981078,0.5922745534777687,0.002591813820824543
0.35000833333333337,350.0083333333334,8.333333333332416,3.084332073276647,3.085890386582312,-10624.10961341769,1.5583133056649585,-10.053500113960723,-10.054693034546679,-0.13579145205291063,5.663803845919146,0.04390313916818555,0.03325853233793613,-3.893355697822331e-18,-2.817051098657443,2.729980094578212,0.2173370598321943,2.005239203358348,0.00014554934137739827,1.8810016940574747,0.0006268531731498408,0.0,0.12353886900135297,0.5920843019368814,0.005183626931026771
0.35001250000000006,350.01250000000005,12.500000000026379,3.0424205408300318,3.043973911168748,-10666.026088831253,1.5533703387163587,-10.064012036658584,-10.065191928312295,-0.13387915944032186,5.663361592455527,0.042675307934397916,0.03274459624558519,-3.6917278554789345e-18,-2.808115417737207,2.7228331853741774,0.2173372401972287,2.005244887265319,0.00014153639002214562,1.8812012209536138,0.0006268531731498408,0.0,0.12334101288013183,0.5917513617403288,0.007775438620143448
0.3500138743875551,350.0138743875551,13.874387555068424,3.0285863246096345,3.0301380762225065,-10679.861923777495,1.551751612872075,-10.067448573650683,-10.068624430702322,-0.13324868679288776,5.663217099701965,0.04227431555245024,0.032575558818669303,-3.6256619241003265e-18,-2.8051891554756403,2.7204980149033577,0.21733729857383763,2.005247262342219,0.00014022518569485853,1.8812669812686043,0.0006268531731498408,0.0,0.12327631637932622,0.5917397812117531,0.008630355082726034
0.3500166666666667,350.0166666666667,16.66666666666483,3.000465501836182,3.0020139812171007,-10707.9860187829,1.548479380918868,-10.074383170476155,-10.075550850789616,-0.13196830719327,5.662925656697043,0.04146579548442209,0.03223286768573213,-3.4920997528526896e-18,-2.7992737567009947,2.715787681088631,0.21733741548489743,2.0052528529107794,0.00013758033006348072,1.8814005011639265,0.0006268531731498408,0.0,0.12314574207995449,0.59167236599183,0.010367248177544357
0.3500208333333334,350.02083333333337,20.833333333358794,2.958467544025179,2.960011186261755,-10749.988813738246,1.5436422365759073,-10.084612980612647,-10.085767092272489,-0.13005889101887397,5.66249603394603,0.04027455984061747,0.031723310740326756,-3.2944107103505275e-18,-2.79052937729015,2.7088431405948312,0.21733758577132126,2.0052631048688565,0.0001336811190363275,1.8815995372632388,0.0006268531731498408,0.0,0.12295305855781474,0.5920814068047375,0.012959054892740553
0.35002500000000003,350.02500000000003,24.999999999997247,2.916427257408256,2.9179661200111346,-10792.033879988867,1.5388626028787182,-10.094700905653136,-10.095840912617382,-0.12815089912054742,5.662072719577404,0.039101554631915995,0.031215889732286024,-3.098597574534769e-18,-2.7818889631263883,2.7019996035469576,0.21733775113201254,2.005275647617359,0.00012983871498416374,1.881798331845347,0.0006268531731498408,0.0,0.12276296415497956,0.5922650409007243,0.015550858055103176
0.3500291666666667,350.0291666666667,29.16666666669121,2.8743452343251183,2.8758793753627536,-10834.120624637248,1.5341410376353424,-10.104646386493632,-10.105772668365057,-0.12624431035061268,5.661655709003789,0.03794672832357575,0.03071056917407801,-2.9045981183113935e-18,-2.773353522590854,2.6952571214104237,0.21733791164267574,2.0052904855361002,0.00012605307614694752,1.8819968875472899,0.0006268531731498408,0.0,0.12257546057217447,0.5920094420914455,0.018142656954145044
0.35003333333333336,350.03333333333336,33.33333333332966,2.8322220694500024,2.8337515447650885,-10876.248455234912,1.529475315086293,-10.114448870915748,-10.11556237241015,-0.1243390653007761,5.661244997679736,0.03681000752350158,0.030207313767921445,-2.7123515153011753e-18,-2.764919032052238,2.688615687308831,0.21733806737929925,2.005307622906676,0.00012232416049870405,1.882195207047038,0.0006268531731498408,0.0,0.12239054937134529,0.5917377132602217,0.020734450879274606
0.3500338743875551,350.0338743875551,33.874387555088425,2.826749262574889,2.828278135898969,-10881.721864101033,1.528873324079811,-10.115711234729275,-10.11682316110184,-0.12409175740879787,5.661192127438401,0.03666372442096176,0.03014211420053954,-2.687513186969042e-18,-2.7638307788620566,2.6877606870047197,0.217338087255927,2.005310017146697,0.00012184410843233206,1.8822209422456182,0.0006268531731498408,0.0,0.12236672834084844,0.5917426763438971,0.02107100272819969
0.35003750000000006,350.0375000000001,37.500000000023626,2.7900583597488344,2.7915832206990805,-10918.41677930092,1.5248609502463244,-10.124107820875501,-10.125208986901914,-0.12243518749291683,5.660840581106309,0.03569136937244214,0.029706088409899016,-2.5217990866282527e-18,-2.7565773837490473,2.6820751251324477,0.2173382184177198,2.005327063912461,0.0001186519278377333,1.8823932930609066,0.0006268531731498408,0.0,0.12220823197956258,0.5917381268505281,0.023326239119936865
0.3500416666666667,350.0416666666667,41.66666666666208,2.747854704357092,2.749375005466012,-10960.624994533988,1.520301108920135,-10.13362271564007,-10.13471023867622,-0.12053264829848395,5.660442454895484,0.034590760252014345,0.029206858275776626,-2.3328844639873703e-18,-2.7483343006854883,2.675635064996649,0.2173383648329047,2.00534881263788,0.00011503633807072432,1.882591148290452,0.0006268531731498408,0.0,0.12202850973964582,0.5921302104608782,0.0259180209655432
0.3500458333333334,350.0458333333334,45.83333333335604,2.705611704632602,2.707127503273027,-11002.872496726974,1.515798640424916,-10.142993010351042,-10.144066564098804,-0.11863144480881363,5.660050614715629,0.03350814213672998,0.028709588743592595,-2.1455491193956875e-18,-2.7401949337334006,2.669295566518779,0.21733850669940413,2.005372873068455,0.00011147735203769143,1.8827887754652781,0.0006268531731498408,0.0,0.1218513838675844,0.5922195459670339,0.028509795705612268
0.35005000000000003,350.05,49.99999999999449,2.663329964190634,2.6648413178028276,-11045.158682197174,1.5113536121938065,-10.152218165491528,-10.153278214741599,-0.1167315481277067,5.659665056276552,0.032443462686407396,0.02821424536689883,-1.959735625617472e-18,-2.732159404795485,2.663056656742216,0.21733864409202655,2.005399249089243,0.00010797493052553674,1.8829861773534446,0.0006268531731498408,0.0,0.12167685544100926,0.5919271376204964,0.031101562629523974
0.35005387438755514,350.05387438755514,53.87438755510843,2.623979931585985,2.625487201300449,-11084.512798699552,1.5072697144641496,-10.160665511659987,-10.16171385131827,-0.114966038528024,5.659312176106511,0.03146950003530262,0.027755347024626596,-1.7882725549237394e-18,-2.7247767118900774,2.657345620804245,0.21733876789862902,2.0054258558691673,0.00010476891070497198,1.8831695324157198,0.0006268531731498408,0.0,0.12151690101484502,0.591741021982672,0.0335115172777682
0.3500541666666667,350.05416666666673,54.16666666668846,2.621010088899485,2.6225170522840924,-11087.48294771591,1.5069633846070223,-10.161297647706203,-10.162345178690204,-0.11483289834543885,5.659285775331412,0.03139665367241403,0.02772079387266776,-1.775387704275185e-18,-2.724222942081763,2.6569183185126097,0.21733877708585336,2.0054279444847922,0.00010452903418794833,1.8831833567610152,0.0006268531731498408,0.0,0.12150492539943786,0.5917087619387824,0.03369332102680106
0.35005833333333336,350.05833333333334,58.333333333326905,2.5786526868249813,2.5801553111525375,-11129.844688847465,1.5026243275562132,-10.170230942890612,-10.171265921784043,-0.11293553754882438,5.658912767688036,0.030367703908195043,0.027229200176182106,-1.5924515435507555e-18,-2.7163789832400567,2.6508802954391233,0.2173389057556438,2.0054589629389556,0.00010113962590152612,1.8833803165229661,0.0006268531731498408,0.0,0.12133559455479044,0.5918051284801448,0.03628507018682793
0.35006250000000005,350.06250000000006,62.500000000020876,2.5362583681265796,2.537756708417851,-11172.24329158215,1.4983402912711457,-10.17901754221494,-10.180038852988668,-0.11103942289732435,5.658546029258835,0.029356555803263906,0.026739430450730194,-1.4108741763693264e-18,-2.708634488548479,2.6449423246818724,0.21733903017530506,2.0054923080344946,9.780666803302029e-5,1.883577059458717,0.0006268531731498408,0.0,0.12116886363263787,0.5921521307471108,0.038876809399132184
0.3500666666666667,350.0666666666667,66.66666666665932,2.4938277451272355,2.495321858565789,-11214.678141434211,1.4941134385534653,-10.187656919702176,-10.188664403873027,-0.10914455470752972,5.658185556003864,0.028363175767392734,0.026251451042437642,-1.2306012232081474e-18,-2.700993367825889,2.6391044575192426,0.21733915041852694,2.0055279832526387,9.453012410790743e-5,1.883773588419796,0.0006268531731498408,0.0,0.12100473322553842,0.5921558530598673,0.041468537953138644
0.3500708333333334,350.0708333333334,70.8333333333533,2.451361432325659,2.4528513756902774,-11257.148624309724,1.4899433646184086,-10.196148555522539,-10.19714275421416,-0.10725089685168572,5.657831343926748,0.027387511608311738,0.025765228458166894,-1.0515793345749105e-18,-2.693454889319975,2.633366703234505,0.2173392665592911,2.0055659919718725,9.130995743766497e-5,1.8839699062923159,0.0006268531731498408,0.0,0.12084320378913567,0.591850209823529,0.04406025513831024
0.35007387438755516,350.0738743875552,73.87438755512844,2.420345090243978,2.4218320243024785,-11288.167975697523,1.4869340585004802,-10.20225264143629,-10.203237748986787,-0.10586952873294049,5.657576771392189,0.026686564557464074,0.025411447314412264,-9.216793161574924e-19,-2.6880147964484777,2.6292421673912583,0.21733934877787567,2.0055952077031893,8.89952771266341e-5,1.884113057905783,0.0006268531731498408,0.0,0.12072695314434141,0.591736472489303,0.045951820150380344
0.350075,350.07500000000005,74.99999999999174,2.4088600463985372,2.410345873282983,-11299.654126717018,1.485826884445911,-10.204491935537376,-10.205473873138303,-0.10535840259856831,5.657483389074804,0.026429507138385728,0.025280729361474834,-8.737561108622578e-19,-2.6860132952898272,2.627729036187926,0.21733937867181277,2.0056063374679978,8.814613154715527e-5,1.8841660159981914,0.0006268531731498408,0.0,0.12068427564118854,0.5916566495601916,0.04665196024407783
