t_s,x1_um,x2_um,Vout_mV
0.39738463746864544,13.703987404260094,13.710649106186386,-0.014091033349336009
0.39738483746864545,13.70398541646542,13.710648367137257,-0.014122836335261903
0.39738503746864545,13.70398342491219,13.710647626398167,-0.014154710292978491
0.39738523746864546,13.70398142959759,13.710646883965449,-0.014186655077792536
0.39738543746864546,13.703979430518878,13.710646139835358,-0.01421867061175763
0.3973856374686454,13.703977427673385,13.710645394004052,-0.014250756883665274
0.3973858374686454,13.70397542105851,13.710644646467674,-0.01428291388407921
0.3973860374686454,13.70397341067172,13.71064389722357,-0.014315140311294957
0.39738623746864543,13.70397139651056,13.71064314626829,-0.014347435719212152
0.39738643746864544,13.703969378572644,13.710642393598429,-0.014379799858084736
0.39738663746864544,13.70396735685566,13.710641639210499,-0.014412232547261537
0.39738683746864545,13.703965331357356,13.71064088310092,-0.014444733675186271
0.39738703746864545,13.703963302075568,13.710640125266004,-0.014477303199397518
0.39738723746864546,13.703961269008195,13.71063936570197,-0.01450994114652874
0.39738743746864547,13.703959232153204,13.710638604405426,-0.014542647168292146
0.3973876374686454,13.703957191508632,13.710637841373742,-0.014575419964286225
0.3973878374686454,13.703955147072593,13.710637076603525,-0.014608259300860417
0.3973880374686454,13.703953098843268,13.710636310091449,-0.014641164959428042
0.39738823746864543,13.703951046818908,13.710635541834096,-0.01467413679296236
0.39738843746864544,13.703948990997839,13.71063477182795,-0.014707174725987466
0.39738863746864544,13.703946931378454,13.710634000069382,-0.01474027875457832
0.39738883746864545,13.703944867959224,13.710633226554684,-0.014773448946360703
0.39738903746864546,13.703942800738679,13.710632451281155,-0.014806684303656299
0.39738923746864546,13.703940729715423,13.71063167424583,-0.014839984067363969
0.39738943746864547,13.703938654888134,13.710630895445478,-0.014873348021865542
0.3973896374686454,13.703936576255558,13.710630114876821,-0.014906775983734022
0.3973898374686454,13.703934493816512,13.710629332536469,-0.01494026786520636
0.39739003746864543,13.70393240756988,13.710628548420907,-0.01497382367412779
0.39739023746864544,13.703930317514626,13.710627762526498,-0.01500744351201006
0.39739043746864544,13.703928223649772,13.710626974850745,-0.015041126276404658
0.39739063746864545,13.703926125974414,13.71062618539056,-0.01507487144562706
0.39739083746864545,13.70392402448772,13.710625394142868,-0.015108678758348535
0.39739103746864546,13.703921919188923,13.710624601104467,-0.01514254805164194
0.39739123746864546,13.703919810077336,13.710623806272034,-0.015176479260981703
0.3973914374686454,13.70391769715233,13.710623009642124,-0.01521047242023442
0.3973916374686454,13.703915580413353,13.710622211211245,-0.015244527578966396
0.3973918374686454,13.703913459859915,13.710621410977051,-0.015278643536018191
0.39739203746864543,13.703911335491604,13.71062060893651,-0.015312819872386892
0.39739223746864544,13.703909207308072,13.710619805086623,-0.015347056346226446
