position_parameter_m,velocity_parameter_m_s,x1_m,x2_m,v1_m_s,v2_m_s,Q1_N,Q2_N,dissipation_W
-1.3810000000000002e-5,-0.008699458908108533,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.008699458908108533,-0.008699458908108533,1.856107224976538e-5,0.00010533648106200215,1.0778416738509076e-6
-1.3810000000000002e-5,-0.008409476944504916,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.008409476944504916,-0.008409476944504916,1.7942369841439868e-5,0.00010182526502660207,1.0071831641206816e-6
-1.3810000000000002e-5,-0.008119494980901297,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.008119494980901297,-0.008119494980901297,1.7323667433114354e-5,9.8314048991202e-5,9.389198581101241e-7
-1.3810000000000002e-5,-0.00782951301729768,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.00782951301729768,-0.00782951301729768,1.6704965024788844e-5,9.480283295580194e-5,8.730517558192355e-7
-1.3810000000000002e-5,-0.007539531053694062,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.007539531053694062,-0.007539531053694062,1.608626261646333e-5,9.129161692040185e-5,8.095788572480151e-7
-1.3810000000000002e-5,-0.007249549090090444,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.007249549090090444,-0.007249549090090444,1.5467560208137816e-5,8.778040088500178e-5,7.485011623964637e-7
-1.3810000000000002e-5,-0.006959567126486826,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.006959567126486826,-0.006959567126486826,1.4848857799812302e-5,8.42691848496017e-5,6.898186712645809e-7
-1.3810000000000002e-5,-0.006669585162883208,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.006669585162883208,-0.006669585162883208,1.423015539148679e-5,8.075796881420163e-5,6.335313838523669e-7
-1.3810000000000002e-5,-0.006379603199279591,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.006379603199279591,-0.006379603199279591,1.361145298316128e-5,7.724675277880157e-5,5.796393001598216e-7
-1.3810000000000002e-5,-0.0060896212356759735,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0060896212356759735,-0.0060896212356759735,1.2992750574835766e-5,7.37355367434015e-5,5.281424201869448e-7
-1.3810000000000002e-5,-0.005799639272072356,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.005799639272072356,-0.005799639272072356,1.2374048166510254e-5,7.022432070800143e-5,4.790407439337368e-7
-1.3810000000000002e-5,-0.005509657308468738,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.005509657308468738,-0.005509657308468738,1.1755345758184741e-5,6.671310467260135e-5,4.323342714001975e-7
-1.3810000000000002e-5,-0.00521967534486512,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.00521967534486512,-0.00521967534486512,1.1136643349859228e-5,6.320188863720129e-5,3.8802300258632683e-7
-1.3810000000000002e-5,-0.004929693381261502,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.004929693381261502,-0.004929693381261502,1.0517940941533715e-5,5.969067260180121e-5,3.4610693749212485e-7
-1.3810000000000002e-5,-0.004639711417657884,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.004639711417657884,-0.004639711417657884,9.899238533208203e-6,5.617945656640114e-5,3.0658607611759157e-7
-1.3810000000000002e-5,-0.0043497294540542665,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0043497294540542665,-0.0043497294540542665,9.28053612488269e-6,5.266824053100107e-5,2.694604184627269e-7
-1.3810000000000002e-5,-0.004059747490450649,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.004059747490450649,-0.004059747490450649,8.661833716557177e-6,4.9157024495601e-5,2.3472996452753102e-7
-1.3810000000000002e-5,-0.003769765526847031,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.003769765526847031,-0.003769765526847031,8.043131308231665e-6,4.5645808460200926e-5,2.0239471431200377e-7
-1.3810000000000002e-5,-0.003479783563243413,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.003479783563243413,-0.003479783563243413,7.424428899906151e-6,4.213459242480085e-5,1.7245466781614523e-7
-1.3810000000000002e-5,-0.0031898015996397956,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0031898015996397956,-0.0031898015996397956,6.80572649158064e-6,3.8623376389400786e-5,1.449098250399554e-7
-1.3810000000000002e-5,-0.002899819636036178,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.002899819636036178,-0.002899819636036178,6.187024083255127e-6,3.511216035400071e-5,1.197601859834342e-7
-1.3810000000000002e-5,-0.00260983767243256,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.00260983767243256,-0.00260983767243256,5.568321674929614e-6,3.1600944318600646e-5,9.700575064658171e-8
-1.3810000000000002e-5,-0.002319855708828942,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.002319855708828942,-0.002319855708828942,4.949619266604102e-6,2.808972828320057e-5,7.664651902939789e-8
-1.3810000000000002e-5,-0.0020298737452253243,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0020298737452253243,-0.0020298737452253243,4.3309168582785886e-6,2.45785122478005e-5,5.8682491131882755e-8
-1.3810000000000002e-5,-0.0017398917816217065,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0017398917816217065,-0.0017398917816217065,3.7122144499530756e-6,2.1067296212400426e-5,4.311366695403631e-8
-1.3810000000000002e-5,-0.001449909818018089,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.001449909818018089,-0.001449909818018089,3.0935120416275634e-6,1.7556080177000357e-5,2.994004649585855e-8
-1.3810000000000002e-5,-0.001159927854414471,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.001159927854414471,-0.001159927854414471,2.474809633302051e-6,1.4044864141600285e-5,1.9161629757349473e-8
-1.3810000000000002e-5,-0.0008699458908108533,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0008699458908108533,-0.0008699458908108533,1.8561072249765378e-6,1.0533648106200213e-5,1.0778416738509077e-8
-1.3810000000000002e-5,-0.0005799639272072355,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0005799639272072355,-0.0005799639272072355,1.2374048166510254e-6,7.0224320708001424e-6,4.790407439337368e-9
-1.3810000000000002e-5,-0.00028998196360361777,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.00028998196360361777,-0.00028998196360361777,6.187024083255127e-7,3.5112160354000712e-6,1.197601859834342e-9
-1.3810000000000002e-5,0.0,-1.3810000000000002e-5,-1.3810000000000002e-5,0.0,0.0,-0.0,-0.0,0.0
-1.3810000000000002e-5,0.00028998196360361777,-1.3810000000000002e-5,-1.3810000000000002e-5,0.00028998196360361777,0.00028998196360361777,-6.187024083255127e-7,-3.5112160354000712e-6,1.197601859834342e-9
-1.3810000000000002e-5,0.0005799639272072355,-1.3810000000000002e-5,-1.3810000000000002e-5,0.0005799639272072355,0.0005799639272072355,-1.2374048166510254e-6,-7.0224320708001424e-6,4.790407439337368e-9
-1.3810000000000002e-5,0.0008699458908108533,-1.3810000000000002e-5,-1.3810000000000002e-5,0.0008699458908108533,0.0008699458908108533,-1.8561072249765378e-6,-1.0533648106200213e-5,1.0778416738509077e-8
-1.3810000000000002e-5,0.001159927854414471,-1.3810000000000002e-5,-1.3810000000000002e-5,0.001159927854414471,0.001159927854414471,-2.474809633302051e-6,-1.4044864141600285e-5,1.9161629757349473e-8
-1.3810000000000002e-5,0.001449909818018089,-1.3810000000000002e-5,-1.3810000000000002e-5,0.001449909818018089,0.001449909818018089,-3.0935120416275634e-6,-1.7556080177000357e-5,2.994004649585855e-8
-1.3810000000000002e-5,0.0017398917816217065,-1.3810000000000002e-5,-1.3810000000000002e-5,0.0017398917816217065,0.0017398917816217065,-3.7122144499530756e-6,-2.1067296212400426e-5,4.311366695403631e-8
-1.3810000000000002e-5,0.0020298737452253243,-1.3810000000000002e-5,-1.3810000000000002e-5,0.0020298737452253243,0.0020298737452253243,-4.3309168582785886e-6,-2.45785122478005e-5,5.8682491131882755e-8
-1.3810000000000002e-5,0.002319855708828942,-1.3810000000000002e-5,-1.3810000000000002e-5,0.002319855708828942,0.002319855708828942,-4.949619266604102e-6,-2.808972828320057e-5,7.664651902939789e-8
-1.3810000000000002e-5,0.00260983767243256,-1.3810000000000002e-5,-1.3810000000000002e-5,0.00260983767243256,0.00260983767243256,-5.568321674929614e-6,-3.1600944318600646e-5,9.700575064658171e-8
-1.3810000000000002e-5,0.002899819636036178,-1.3810000000000002e-5,-1.3810000000000002e-5,0.002899819636036178,0.002899819636036178,-6.187024083255127e-6,-3.511216035400071e-5,1.197601859834342e-7
-1.3810000000000002e-5,0.0031898015996397956,-1.3810000000000002e-5,-1.3810000000000002e-5,0.0031898015996397956,0.0031898015996397956,-6.80572649158064e-6,-3.8623376389400786e-5,1.449098250399554e-7
-1.3810000000000002e-5,0.003479783563243413,-1.3810000000000002e-5,-1.3810000000000002e-5,0.003479783563243413,0.003479783563243413,-7.424428899906151e-6,-4.213459242480085e-5,1.7245466781614523e-7
-1.3810000000000002e-5,0.003769765526847031,-1.3810000000000002e-5,-1.3810000000000002e-5,0.003769765526847031,0.003769765526847031,-8.043131308231665e-6,-4.5645808460200926e-5,2.0239471431200377e-7
-1.3810000000000002e-5,0.004059747490450649,-1.3810000000000002e-5,-1.3810000000000002e-5,0.004059747490450649,0.004059747490450649,-8.661833716557177e-6,-4.9157024495601e-5,2.3472996452753102e-7
-1.3810000000000002e-5,0.0043497294540542665,-1.3810000000000002e-5,-1.3810000000000002e-5,0.0043497294540542665,0.0043497294540542665,-9.28053612488269e-6,-5.266824053100107e-5,2.694604184627269e-7
-1.3810000000000002e-5,0.004639711417657884,-1.3810000000000002e-5,-1.3810000000000002e-5,0.004639711417657884,0.004639711417657884,-9.899238533208203e-6,-5.617945656640114e-5,3.0658607611759157e-7
-1.3810000000000002e-5,0.004929693381261502,-1.3810000000000002e-5,-1.3810000000000002e-5,0.004929693381261502,0.004929693381261502,-1.0517940941533715e-5,-5.969067260180121e-5,3.4610693749212485e-7
