time_s,side,event,normal_velocity_m_s
0.11067613083686616,-1,entry,0.0009040860472943398
0.11081739281539368,-1,exit,-0.00031907867725697905
0.11102629514034901,-1,entry,0.0005605399532007684
0.11118477834033577,-1,exit,-0.00020770798844272793
0.11130229787047605,-1,entry,0.00038570104822454015
0.11147753779383685,-1,exit,-0.0001442903874110735
0.1115525409467226,-1,entry,0.0002669142481149407
0.11174548034244408,-1,exit,-9.334560841839083e-5
0.1117906132234372,-1,entry,0.0001630077355747156
0.12001964240224512,-1,exit,-8.546733872656493e-6
0.13267530986332612,1,entry,0.0012569202979665743
0.1328123099994996,1,exit,-0.00042141527862387995
0.1330448239544873,1,entry,0.0007749901400033474
0.13319928615123455,1,exit,-0.0002718456045413838
0.13332282982253482,1,entry,0.0005374840752600877
0.13349453949522047,1,exit,-0.00018892864294782697
0.13357097842133825,1,entry,0.00037522893516464545
0.13376130554237767,1,exit,-0.00012067530832415458
0.13380542944976556,1,entry,0.00022757022822140872
0.14615993844427144,1,exit,-8.567679655097802e-6
0.15583656298980608,-1,entry,0.0010339358595282597
0.1559771841351446,-1,exit,-0.00035394342669130675
0.15617561609089498,-1,entry,0.0006624195533731372
0.1563351098727993,-1,exit,-0.00023267048864079152
0.15644075595761936,-1,entry,0.0004600790210048405
0.15661970255185173,-1,exit,-0.00015518221697758867
0.1566809696358401,-1,entry,0.0003032682768137695
0.1568846193602516,-1,exit,-6.63364221817237e-5
0.15690692533471678,-1,entry,0.00010433875091755291
0.17169306455408662,-1,exit,-7.325153085658651e-6
0.18027232897885687,1,entry,0.001481880349272222
0.1804047542843749,1,exit,-0.00048548265144381444
0.18068944301026663,1,entry,0.000875708165135066
0.1808406373483898,1,exit,-0.0003007633235497065
0.1809732812622138,1,entry,0.0006031008443479634
0.18114300958710672,1,exit,-0.00020585908545139254
0.18122079794077367,1,entry,0.0004180282953589966
0.1814111011008589,1,exit,-0.00012531894106659905
0.1814525751931207,1,entry,0.00024026921300874675
0.19686034235772143,1,exit,-6.8427739363098585e-6
0.20522153175440733,-1,entry,0.0016694594002674152
