cycle,end_time_s,period1_scaled_error,period2_scaled_error,mean_load_power_W
1,0.05,NaN,NaN,1.3841989355041152e-18
2,0.1,0.5960911130782549,NaN,1.312128708224045e-15
3,0.15000000000000002,0.7096850033172881,0.9902904314501679,4.006977014229553e-13
4,0.2,0.5632637799231764,0.7965477109523759,5.239090392620489e-13
5,0.25,0.2344020526376083,0.6147955868594007,7.049104616378645e-13
6,0.30000000000000004,0.005525534976069377,0.2347135077706704,7.050482212694302e-13
7,0.35000000000000003,4.2995903637432775e-7,0.005520896760851032,7.05048236202128e-13
8,0.4,2.6514509762765037e-7,4.276958706153633e-7,7.050482372066129e-13
9,0.45,2.648082903233817e-7,2.2134978114318749e-7,7.050482362546188e-13
10,0.5,1.5900124775147795e-7,1.567899452215027e-7,7.050482365459966e-13
