relative_displacement_m,Q1_N,Q2_N
-5.5804900335723994e-8,-0.0001008816745834935,0.0001008816745834935
-5.561888400127158e-8,-0.00010054540233488186,0.00010054540233488186
-5.543286766681917e-8,-0.00010020913008627022,0.00010020913008627022
-5.5246851332366756e-8,-9.987285783765857e-5,9.987285783765857e-5
-5.506083499791434e-8,-9.953658558904693e-5,9.953658558904693e-5
-5.487481866346193e-8,-9.920031334043529e-5,9.920031334043529e-5
-5.468880232900951e-8,-9.886404109182362e-5,9.886404109182362e-5
-5.45027859945571e-8,-9.852776884321198e-5,9.852776884321198e-5
-5.4316769660104686e-8,-9.819149659460034e-5,9.819149659460034e-5
-5.413075332565227e-8,-9.78552243459887e-5,9.78552243459887e-5
-5.394473699119986e-8,-9.751895209737705e-5,9.751895209737705e-5
-5.375872065674745e-8,-9.718267984876541e-5,9.718267984876541e-5
-5.3572704322295035e-8,-9.684640760015377e-5,9.684640760015377e-5
-5.338668798784262e-8,-9.651013535154212e-5,9.651013535154212e-5
-5.320067165339021e-8,-9.617386310293048e-5,9.617386310293048e-5
-5.30146553189378e-8,-9.583759085431884e-5,9.583759085431884e-5
-5.2828638984485384e-8,-9.550131860570718e-5,9.550131860570718e-5
-5.2642622650032965e-8,-9.516504635709553e-5,9.516504635709553e-5
-5.245660631558055e-8,-9.482877410848389e-5,9.482877410848389e-5
-5.227058998112814e-8,-9.449250185987225e-5,9.449250185987225e-5
-5.2084573646675727e-8,-9.41562296112606e-5,9.41562296112606e-5
-5.1898557312223314e-8,-9.381995736264896e-5,9.381995736264896e-5
-5.17125409777709e-8,-9.348368511403732e-5,9.348368511403732e-5
-5.152652464331849e-8,-9.314741286542567e-5,9.314741286542567e-5
-5.1340508308866076e-8,-9.281114061681403e-5,9.281114061681403e-5
-5.115449197441366e-8,-9.247486836820239e-5,9.247486836820239e-5
-5.096847563996125e-8,-9.213859611959073e-5,9.213859611959073e-5
-5.078245930550883e-8,-9.180232387097908e-5,9.180232387097908e-5
-5.059644297105642e-8,-9.146605162236744e-5,9.146605162236744e-5
-5.0410426636604006e-8,-9.11297793737558e-5,9.11297793737558e-5
-5.022441030215159e-8,-9.079350712514415e-5,9.079350712514415e-5
-5.003839396769918e-8,-9.045723487653251e-5,9.045723487653251e-5
-4.985237763324677e-8,-9.012096262792087e-5,9.012096262792087e-5
-4.9666361298794355e-8,-8.978469037930921e-5,8.978469037930921e-5
-4.948034496434194e-8,-8.944841813069757e-5,8.944841813069757e-5
-4.929432862988953e-8,-8.911214588208594e-5,8.911214588208594e-5
-4.910831229543712e-8,-8.877587363347428e-5,8.877587363347428e-5
-4.8922295960984704e-8,-8.843960138486264e-5,8.843960138486264e-5
-4.8736279626532285e-8,-8.810332913625099e-5,8.810332913625099e-5
-4.855026329207987e-8,-8.776705688763935e-5,8.776705688763935e-5
-4.836424695762746e-8,-8.74307846390277e-5,8.74307846390277e-5
-4.817823062317505e-8,-8.709451239041606e-5,8.709451239041606e-5
-4.7992214288722634e-8,-8.675824014180442e-5,8.675824014180442e-5
-4.780619795427022e-8,-8.642196789319276e-5,8.642196789319276e-5
-4.762018161981781e-8,-8.608569564458112e-5,8.608569564458112e-5
-4.7434165285365396e-8,-8.574942339596948e-5,8.574942339596948e-5
-4.7248148950912983e-8,-8.541315114735783e-5,8.541315114735783e-5
-4.706213261646057e-8,-8.507687889874619e-5,8.507687889874619e-5
-4.687611628200816e-8,-8.474060665013455e-5,8.474060665013455e-5
-4.669009994755574e-8,-8.44043344015229e-5,8.44043344015229e-5
-4.6504083613103326e-8,-8.406806215291124e-5,8.406806215291124e-5
-4.631806727865091e-8,-8.37317899042996e-5,8.37317899042996e-5
-4.61320509441985e-8,-8.339551765568797e-5,8.339551765568797e-5
-4.594603460974609e-8,-8.305924540707631e-5,8.305924540707631e-5
-4.5760018275293675e-8,-8.272297315846467e-5,8.272297315846467e-5
