t_s,x1_um,x2_um,Vout_mV
0.49676637712925564,13.703456235557411,13.710428685288571,-0.011121142423518967
0.49676657712925565,13.703454947988313,13.710428115464271,-0.011120119318345074
0.49676677712925565,13.70345366072056,13.710427545605977,-0.011119191332274018
0.49676697712925566,13.703452373742529,13.710426975708494,-0.01111835892527237
0.49676717712925567,13.70345108704258,13.710426405766553,-0.011117622564391466
0.4967673771292556,13.703449800609073,13.71042583577483,-0.011116982723767557
0.4967675771292556,13.703448514430354,13.710425265727942,-0.01111643988462113
0.4967677771292556,13.703447228494761,13.710424695620446,-0.011115994535257977
0.49676797712925563,13.703445942790617,13.710424125447336,-0.011115646734555631
0.49676817712925564,13.70344465730624,13.710423555204109,-0.01111539585152716
0.49676837712925564,13.703443372029941,13.710422984885462,-0.011115242301012369
0.49676857712925565,13.703442086950016,13.710422414486104,-0.011115186527663934
0.49676877712925566,13.703440802054756,13.710421844000681,-0.01111522898440622
0.49676897712925566,13.703439517332443,13.71042127342379,-0.011115370132435265
0.49676917712925567,13.703438232771358,13.710420702749948,-0.011115610441218785
0.4967693771292556,13.70343694835977,13.710420131973626,-0.011115950388496072
0.4967695771292556,13.703435664085934,13.710419561089228,-0.011116390460278392
0.49676977712925563,13.703434379938102,13.710418990092162,-0.011116930168372154
0.49676997712925564,13.703433095904517,13.710418418977303,-0.011117569346913953
0.49677017712925564,13.70343181197342,13.710417847739278,-0.011118308432760808
0.49677037712925565,13.703430528133033,13.710417276372645,-0.011119147863342413
0.49677057712925565,13.703429244371597,13.710416704871916,-0.011120088085629953
0.49677077712925566,13.703427960677319,13.710416133231531,-0.011121129556136117
0.49677097712925566,13.703426677038415,13.710415561445872,-0.011122272740915078
0.49677117712925567,13.703425393443096,13.710414989509255,-0.011123518115562506
0.4967713771292556,13.70342410987956,13.710414417416162,-0.011124865976010772
0.4967715771292556,13.703422826335999,13.710413845161982,-0.011126315592394168
0.49677177712925563,13.703421542800607,13.710413272741219,-0.011127867250763781
0.49677197712925564,13.703420259261565,13.710412700148364,-0.011129521344201834
0.49677217712925564,13.703418975707057,13.710412127377845,-0.011131278293383673
0.49677237712925565,13.70341769212526,13.71041155442401,-0.011133138546577765
0.49677257712925565,13.703416408504344,13.710410981281123,-0.011135102579645702
0.49677277712925566,13.703415124832482,13.710410407943371,-0.01113717089604219
0.49677297712925567,13.70341384109783,13.71040983440527,-0.01113934365014852
0.4967731771292556,13.703412557288557,13.710409260661933,-0.011141620235847697
0.4967733771292556,13.703411273392812,13.71040868670774,-0.011144001001233646
